term,b0,b1,b1prior,count,political,demPolitical,repPolitical,interPartyPolitical,nWords,totCount,demCount,repCount,totCandN,demIncN,repIncN,demCandN,repCandN,maxCandN,secondCandN,maxGap,maxGap2ndRatio,maxToTotalMinusMaxRatio,outlierCapped,maxDemCandN,secondDemCandN,maxDemGap,maxDemGap2ndRatio,maxDemToTotalMinusMaxRatio,outlierCappedDem,maxRepCandN,secondRepCandN,maxRepGap,maxRepToTotalMinusMaxRatio,maxRepGap2ndRatio,outlierCappedRep,bParty,tParty,bDemRCCount,tDemRCCount,bRepRCCount,tRepRCCount,numChar
speaking_senate_floor,0.52,-2.64,0,64,1,0,1,0,3,129,65,64,42,18,24,18,24,16,11,5,0.455,0.142,0,16,11,5,0.455,0.327,0,8,8,0,0.143,0,0,0.27,2.2,-0.46,-1.3,-2.28,-6.18,21
public_health_safety,-0.64,-2.09,0,71,1,0,1,0,3,239,168,71,156,73,28,116,40,15,6,9,1.5,0.067,0,6,5,1,0.2,0.037,0,15,6,9,0.268,1.5,0,-0.13,-2.04,-0.19,-0.65,-1.911,-3.51,20
senate_impeachment_trial,-3.58,1.59,0,105,1,1,1,0,3,264,154,105,112,40,30,59,49,49,11,38,3.455,0.228,1,49,10,39,3.9,0.467,1,11,8,3,0.117,0.375,0,0.14,1.34,-1.36,-3.89,1.446,3.64,24
men_women_serving,-0.58,-1.12,0,102,1,1,1,0,3,159,57,102,123,31,55,47,76,6,5,1,0.2,0.039,0,4,3,1,0.333,0.075,0,6,5,1,0.062,0.2,0,0.3,5.1,2.11,4.02,-1.097,-3.04,17
end_surprise_medical,0.15,-2.29,0,59,1,0,1,0,3,123,64,59,53,24,22,30,23,18,16,2,0.125,0.171,0,16,6,10,1.667,0.333,0,18,15,3,0.439,0.2,0,0.24,2.06,0.4,0.85,-1.975,-5.08,20
vote_articles_impeachment,-4.42,2.08,0,52,1,0,1,0,3,111,59,52,78,38,31,44,34,9,7,2,0.286,0.088,0,9,3,6,2,0.18,0,7,6,1,0.156,0.167,0,0.12,1.68,-1.07,-2.44,1.931,4.12,25
child_care_providers,-0.23,-2.16,0,59,1,0,1,0,3,306,247,59,126,91,21,105,21,35,15,20,1.333,0.129,0,35,10,25,2.5,0.165,1,15,9,6,0.341,0.667,0,-0.21,-1.6,0.6,2.74,-1.661,-3.87,20
continue_work_ensure,-0.38,-1.84,0,55,1,1,1,0,3,159,104,55,104,57,34,64,40,8,6,2,0.333,0.053,0,8,6,2,0.333,0.083,0,6,4,2,0.122,0.5,0,-0.01,-0.06,1.3,4.13,-1.692,-3.89,20
senate_just_passed,0.09,-1.74,0,88,1,0,1,0,3,171,83,88,109,47,52,55,54,7,5,2,0.4,0.043,0,5,5,0,0,0.064,0,7,4,3,0.086,0.75,0,0.22,2.74,0.21,0.58,-1.781,-5.21,18
bipartisan_group_senators,0.96,-3.42,0,59,1,0,1,0,3,113,54,59,59,31,25,32,27,8,8,0,0,0.076,0,5,5,0,0,0.102,0,8,8,0,0.157,0,0,0.22,2.69,-0.08,-0.19,-3.051,-7.79,25
keep_safe_healthy,-0.55,-1.8,0,65,1,1,1,0,3,232,167,65,171,86,35,120,51,5,3,2,0.667,0.022,0,5,3,2,0.667,0.031,0,3,3,0,0.048,0,0,-0.12,-1.85,1.38,4.83,-1.725,-3.65,17
families_first_coronavirus,0.12,-1.62,0,104,1,1,1,0,3,257,153,104,168,78,63,101,67,7,5,2,0.4,0.028,0,7,5,2,0.4,0.048,0,5,4,1,0.051,0.25,0,0.13,1.53,0.96,3.34,-1.659,-5.17,26
first_coronavirus_response,0.08,-1.65,0,98,1,1,1,0,3,243,145,98,160,75,59,97,63,6,5,1,0.2,0.025,0,6,5,1,0.2,0.043,0,5,4,1,0.054,0.25,0,0.13,1.55,0.98,3.32,-1.703,-5.14,26
paid_sick_leave,-0.79,-1.49,0,59,1,1,1,1,3,999,939,59,386,171,33,343,42,32,24,8,0.333,0.033,0,32,24,8,0.333,0.035,0,5,3,2,0.093,0.667,0,-0.88,-6.05,-0.99,-6.38,-1.423,-3.04,15
access_life_saving,-0.64,-1.84,0,40,1,0,1,0,3,140,100,40,101,63,26,74,27,5,4,1,0.25,0.037,0,4,4,0,0,0.042,0,5,3,2,0.143,0.667,0,-0.07,-1.09,0.69,2.08,-1.722,-3.46,18
next_coronavirus_relief,-0.5,-2.83,0,21,1,0,1,0,3,109,88,21,71,45,18,52,19,10,6,4,0.667,0.101,0,10,6,4,0.667,0.128,0,2,2,0,0.105,0,0,-0.12,-1.61,0.5,1.5,-3.121,-4.37,23
low_income_students,0.33,-3.85,0,29,1,0,1,0,3,142,113,29,90,55,11,73,17,11,6,5,0.833,0.084,0,6,4,2,0.5,0.056,0,11,2,9,0.611,4.5,0,-0.07,-0.91,-0.76,-2.21,-3.03,-4.98,19
bipartisan_group_colleagues,-0.09,-2.25,0,47,1,1,1,0,3,140,93,47,76,48,27,49,27,7,5,2,0.4,0.053,0,7,5,2,0.4,0.081,0,5,5,0,0.119,0,0,-0.02,-0.2,2.61,7.64,-2.306,-5.03,27
find_common_ground,0,-2.17,0,84,1,1,1,0,3,275,182,84,169,49,38,105,58,13,6,7,1.167,0.05,0,13,6,7,1.167,0.077,0,5,5,0,0.063,0,0,-0.02,-0.19,2.46,7.71,-2.233,-5.26,18
mental_health_crisis,-0.27,-1.61,0,83,1,0,1,0,3,306,220,83,153,73,28,110,41,14,13,1,0.077,0.048,0,13,13,0,0,0.063,0,14,7,7,0.203,1,0,-0.15,-1.07,0.19,0.79,-1.74,-4.41,20
food_supply_chain,-0.16,-1.06,0,143,1,0,1,0,3,205,62,143,107,29,57,40,67,11,9,2,0.222,0.057,0,8,4,4,1,0.148,0,11,9,2,0.083,0.222,0,0.51,4.72,0.61,1.25,-1.071,-3.72,17
proud_support_bipartisan,-0.95,-1.8,0,29,1,1,1,0,3,104,75,29,75,50,24,51,24,5,5,0,0,0.051,0,5,5,0,0,0.071,0,3,2,1,0.115,0.5,0,-0.09,-1.45,1.74,4.72,-1.972,-3.28,24
lower_drug_costs,-0.55,-1.92,0,50,1,1,1,0,3,466,416,50,201,131,20,172,29,12,11,1,0.091,0.026,0,11,9,2,0.222,0.027,0,12,4,8,0.316,2,0,-0.78,-5.26,1.32,7.84,-1.56,-3.34,16
right_bear_arms,-4.8,2.06,0,182,1,0,1,0,3,213,26,182,133,3,24,19,110,5,5,0,0,0.024,0,3,3,0,0,0.13,0,5,5,0,0.028,0,0,0.15,4.44,-1.9,-0.96,2.182,3.53,15
thank_thank_thank,-7.03,3.3,0,930,1,1,1,0,3,3542,1370,930,253,25,8,175,68,1172,375,797,2.125,0.495,1,76,71,5,0.07,0.059,0,375,126,249,0.676,1.976,1,-0.15,-0.65,-3.59,-10.65,3.043,3.58,17
legal_vote_counted,-3.43,1.8,0,163,1,0,1,1,3,165,0,163,64,0,46,0,62,49,7,42,6,0.422,1,0,0,0,0,0,0,49,7,42,0.43,6,1,0.5,6.56,0,0,1.767,5.12,18
