term,b0,b1,b1prior,count,political,demPolitical,repPolitical,interPartyPolitical,nWords,totCount,demCount,repCount,totCandN,demIncN,repIncN,demCandN,repCandN,maxCandN,secondCandN,maxGap,maxGap2ndRatio,maxToTotalMinusMaxRatio,outlierCapped,maxDemCandN,secondDemCandN,maxDemGap,maxDemGap2ndRatio,maxDemToTotalMinusMaxRatio,outlierCappedDem,maxRepCandN,secondRepCandN,maxRepGap,maxRepToTotalMinusMaxRatio,maxRepGap2ndRatio,outlierCappedRep,bParty,tParty,bDemRCCount,tDemRCCount,bRepRCCount,tRepRCCount,numChar
women_veterans,-1.57,1.72,0,49,1,1,0,0,2,53,49,4,31,16,2,27,4,5,5,0,0,0.104,0,5,5,0,0,0.114,0,1,1,0,0.333,0,0,-0.08,-1.4,1.95,3.28,4.211,1.28,14
money_pockets,-2.92,2.24,0,29,1,1,0,0,2,54,29,25,47,5,10,24,23,2,2,0,0,0.038,0,2,2,0,0,0.074,0,2,2,0,0.087,0,0,0.05,2.22,2.55,1.76,0.276,0.24,13
resources_support,-2.2,1.48,0,54,1,1,0,0,2,64,54,10,59,16,2,49,10,3,3,0,0,0.049,0,3,3,0,0,0.059,0,1,1,0,0.111,0,0,-0.03,-0.95,1.84,2.42,4.621,1.39,17
families_need,-2.59,1.16,0,79,1,1,0,0,2,110,79,30,92,16,5,65,26,6,3,3,1,0.058,0,6,3,3,1,0.082,0,3,2,1,0.111,0.5,0,-0.02,-0.68,1.32,1.7,-1.586,-1.23,13
congress_president,-3.03,2.36,0,34,1,1,1,1,2,56,34,22,49,5,8,30,19,3,3,0,0,0.057,0,3,2,1,0.5,0.097,0,3,2,1,0.158,0.5,0,0.06,2.64,2.8,1.7,2.973,2.09,18
bipartisan_support,-1.56,1.15,0,76,1,1,0,0,2,104,76,28,87,33,14,60,27,5,4,1,0.25,0.051,0,5,4,1,0.25,0.07,0,2,1,1,0.077,1,0,0,-0.03,1.49,3.1,-1.137,-1.23,18
across_district,-0.73,2.92,0,89,1,1,0,0,2,107,89,18,76,26,6,60,16,7,6,1,0.167,0.07,0,7,6,1,0.167,0.085,0,2,2,0,0.125,0,0,-0.06,-1.09,3.07,5.07,-0.534,-0.41,15
local_businesses,-2.16,1.17,0,83,1,1,0,0,2,118,83,32,91,24,6,64,25,5,5,0,0,0.044,0,5,5,0,0,0.064,0,2,2,0,0.067,0,0,-0.03,-0.78,1.34,2.13,1.643,1.09,16
access_broadband,-1.28,5.15,0,45,1,1,0,0,2,55,45,10,46,7,6,36,10,3,3,0,0,0.058,0,3,3,0,0,0.071,0,1,1,0,0.111,0,0,0.01,0.6,4.71,3.06,-0.623,-0.41,16
hold_accountable,-6.52,-2.93,0,66,1,1,0,0,2,100,66,34,88,10,10,57,31,3,2,1,0.5,0.031,0,3,2,1,0.5,0.048,0,2,2,0,0.062,0,0,0.06,1.76,-2.64,-3.12,-1.054,-1.02,16
nation_veterans,-2.12,1.95,0,26,1,1,0,0,2,56,26,30,49,14,13,23,26,2,2,0,0,0.037,0,2,2,0,0,0.083,0,2,2,0,0.071,0,0,0.06,1.69,2.05,2.48,-0.365,-0.38,15
