term,b0,b1,b1prior,count,political,demPolitical,repPolitical,interPartyPolitical,nWords,totCount,demCount,repCount,totCandN,demIncN,repIncN,demCandN,repCandN,maxCandN,secondCandN,maxGap,maxGap2ndRatio,maxToTotalMinusMaxRatio,outlierCapped,maxDemCandN,secondDemCandN,maxDemGap,maxDemGap2ndRatio,maxDemToTotalMinusMaxRatio,outlierCappedDem,maxRepCandN,secondRepCandN,maxRepGap,maxRepToTotalMinusMaxRatio,maxRepGap2ndRatio,outlierCappedRep,bParty,tParty,bDemRCCount,tDemRCCount,bRepRCCount,tRepRCCount,numChar
iran,-2.62,1.35,0,151,1,0,1,1,1,346,191,151,159,28,28,77,81,14,12,2,0.167,0.042,0,14,12,2,0.167,0.079,0,10,8,2,0.071,0.25,0,0.26,1.85,0.39,1.22,1.267,2.39,4
open,-0.5,-0.75,0,385,1,0,1,0,1,962,569,385,561,85,42,318,237,13,11,2,0.182,0.014,0,10,9,1,0.111,0.018,0,13,11,2,0.035,0.182,0,0.01,0.16,0.3,1.11,-0.86,-1.72,4
likely,-6.37,2.79,0,77,1,0,1,0,1,413,334,77,220,25,7,163,56,26,13,13,1,0.067,0,26,13,13,1,0.084,0,4,3,1,0.055,0.333,0,0.03,0.65,-0.36,-0.71,2.894,1.79,6
differences,1.59,-6.54,0,41,1,0,1,0,1,134,89,41,102,8,4,65,33,7,4,3,0.75,0.055,0,7,4,3,0.75,0.085,0,3,2,1,0.079,0.5,0,0.01,0.18,0.06,0.06,-5.245,-4.52,11
considering,-8.94,4.73,0,35,1,0,1,0,1,73,37,35,56,4,5,28,27,3,3,0,0,0.043,0,3,2,1,0.5,0.088,0,3,3,0,0.094,0,0,0.03,1.42,0.52,0.33,4.926,2.65,11
covering,-1.06,-2.78,0,26,1,0,1,0,1,80,53,26,72,12,5,49,22,3,3,0,0,0.039,0,2,2,0,0,0.039,0,3,3,0,0.13,0,0,0.02,0.9,0.09,0.1,-2.695,-1.93,8
immense,-8.62,4.17,0,19,1,0,1,0,1,69,50,19,61,11,3,45,16,2,2,0,0,0.03,0,2,2,0,0,0.042,0,2,2,0,0.118,0,0,-0.01,-0.36,-0.03,-0.03,3.262,1.65,7
fault,-0.6,-2.38,0,29,1,0,1,0,1,79,49,29,67,10,8,42,24,3,2,1,0.5,0.039,0,2,2,0,0,0.043,0,3,2,1,0.115,0.5,0,0.05,1.84,1.02,1,-2.148,-2.12,5
assistant,-4.69,2.26,0,90,1,0,1,0,1,199,109,90,148,32,13,85,63,5,4,1,0.25,0.026,0,3,3,0,0,0.028,0,5,4,1,0.059,0.25,0,-0.03,-0.56,0.14,0.3,1.874,2.09,9
reign,-5.89,2.69,0,28,1,0,1,0,1,50,22,28,43,4,6,20,23,4,2,2,1,0.087,0,2,2,0,0,0.1,0,4,2,2,0.167,1,0,0.05,1.78,-0.46,-0.3,2.408,1.86,5
extremely,-4.55,1.61,0,63,1,0,1,0,1,185,120,63,136,15,8,90,45,5,4,1,0.25,0.028,0,5,4,1,0.25,0.043,0,3,3,0,0.05,0,0,0.05,1.35,0.96,1.29,2.423,1.79,9
chains,-1.29,-2.29,0,25,1,0,1,0,1,72,47,25,57,3,4,36,21,4,3,1,0.333,0.059,0,4,3,1,0.333,0.093,0,3,2,1,0.136,0.5,0,0.04,1.6,-0.29,-0.21,-2.223,-1.65,6
equal,0.32,-3.22,0,164,1,0,1,0,1,1155,984,164,505,102,10,397,103,22,19,3,0.158,0.019,0,22,19,3,0.158,0.023,0,6,6,0,0.038,0,0,-0.44,-3.25,0.25,1.25,-2.778,-3.18,5
meet,-2.69,1.27,0,283,1,0,1,0,1,862,576,283,531,86,35,326,202,18,14,4,0.286,0.021,0,18,13,5,0.385,0.032,0,14,11,3,0.052,0.273,0,-0.03,-0.37,0.37,1.35,1.19,2.06,4
religion,-6.09,2.94,0,154,1,0,1,0,1,325,166,154,198,27,7,111,83,12,10,2,0.2,0.038,0,10,5,5,1,0.064,0,12,7,5,0.085,0.714,0,-0.02,-0.35,-0.46,-0.91,2.445,2.02,8
passage,0.11,-1.83,0,73,1,0,1,0,1,299,226,73,204,76,26,148,56,6,6,0,0,0.02,0,6,6,0,0,0.027,0,4,3,1,0.058,0.333,0,-0.1,-1.25,-0.24,-0.82,-1.677,-2.91,7
past,-2.84,1.75,0,365,1,0,1,1,1,1077,711,365,606,78,49,378,227,13,10,3,0.3,0.012,0,13,10,3,0.3,0.019,0,10,10,0,0.028,0,0,0.2,2.26,0.12,0.43,1.66,3.45,4
civilrights,-0.35,-2.93,0,72,1,1,1,1,1,564,490,72,294,85,7,250,42,11,9,2,0.222,0.02,0,11,9,2,0.222,0.023,0,8,5,3,0.125,0.6,0,-0.55,-4.84,-1.01,-4.29,-2.401,-2.14,11
programs,1,-0.76,0,884,1,1,1,0,1,3206,2317,884,932,165,87,596,333,38,28,10,0.357,0.012,0,38,28,10,0.357,0.017,0,22,21,1,0.026,0.048,0,-0.16,-0.67,0.34,2.91,-0.545,-2.26,8
nations,-2.98,1.24,0,252,1,0,1,0,1,618,364,252,340,48,26,202,136,23,14,9,0.643,0.039,0,13,13,0,0,0.037,0,23,14,9,0.1,0.643,0,0.13,2.15,-0.16,-0.39,1.363,1.99,7
