term,b0,b1,b1prior,count,party,political,demPolitical,repPolitical,interPartyPolitical,nWords,totCount,demCount,repCount,totCandN,demIncN,repIncN,demCandN,repCandN,maxCandN,secondCandN,maxGap,maxGap2ndRatio,maxToTotalMinusMaxRatio,outlierCapped,maxDemCandN,secondDemCandN,maxDemGap,maxDemGap2ndRatio,maxDemToTotalMinusMaxRatio,outlierCappedDem,maxRepCandN,secondRepCandN,maxRepGap,maxRepToTotalMinusMaxRatio,maxRepGap2ndRatio,outlierCappedRep,bParty,tParty,bDemRCCount,tDemRCCount,bRepRCCount,tRepRCCount,numChar
hash_blackwomensequalpay,-2.97,-1.3,0,139,D,1,1,0,1,2,139,139,0,105,91,0,105,0,5,4,1,0.25,0.037,0,5,4,1,0.25,0.037,0,0,0,0,0,0,0,-0.4,-7.03,-1.38,-4.81,0,0,24
latinos,-1.38,-1.33,0,897,D,1,1,0,1,1,1185,897,267,279,111,7,192,77,67,49,18,0.367,0.06,0,67,47,20,0.426,0.081,0,49,24,25,0.225,1.042,1,-1.6,-3.19,-1.23,-9.82,-0.14,-0.19,7
hash_saveusps,-1.56,-0.61,0,326,D,1,1,0,1,2,326,326,0,98,68,0,98,0,27,21,6,0.286,0.09,0,27,21,6,0.286,0.09,0,0,0,0,0,0,0,-0.82,-3.7,-0.64,-3.3,0,0,13
hash_handsoffsnap,-1.89,-1.27,0,378,D,1,1,0,1,2,378,378,0,138,126,0,138,0,45,34,11,0.324,0.135,0,45,34,11,0.324,0.135,0,0,0,0,0,0,0,-1.08,-3.89,-1.28,-7.59,0,0,17
renters,-1.2,-0.96,0,755,D,1,1,0,1,1,819,755,57,310,163,22,266,41,20,17,3,0.176,0.025,0,20,17,3,0.176,0.027,0,6,3,3,0.118,1,0,-1.38,-6.7,-0.89,-6.52,0.061,0.09,7
transgender,-0.68,-0.87,0,1267,D,1,1,0,1,1,1417,1267,132,396,186,5,335,54,27,23,4,0.174,0.019,0,27,23,4,0.174,0.022,0,14,10,4,0.119,0.4,0,-2.1,-8.31,-0.71,-6.61,-1.204,-1.04,11
hash_climatestrike,-2.98,-1.78,0,863,D,1,1,0,1,2,874,863,9,233,108,2,225,6,211,56,155,2.768,0.318,1,211,56,155,2.768,0.324,1,3,2,1,0.5,0.5,0,-0.55,-5.94,-1.69,-7.59,-1.034,-0.54,18
caregiving,-4.1,-1.49,0,92,D,1,1,0,1,1,102,92,6,54,33,3,47,6,18,8,10,1.25,0.214,0,18,8,10,1.25,0.243,0,1,1,0,0.2,0,0,-0.13,-3.11,-1.49,-3.28,-5.961,-3.09,10
hash_votingrights,-2.94,-1.25,0,200,D,1,1,0,1,2,201,200,1,85,43,0,84,1,15,14,1,0.071,0.081,0,15,14,1,0.071,0.081,0,1,0,1,0,0,0,-0.42,-3.48,-1.61,-5.17,0,0,17
latino,-0.07,-0.51,0,1551,D,1,1,0,1,1,2061,1551,474,433,176,17,315,108,113,58,55,0.948,0.058,1,58,52,6,0.115,0.039,0,113,40,73,0.313,1.825,1,-2.7,-4.49,-0.47,-4.89,-1.038,-2.52,6
