term,b0,b1,b1prior,count,political,demPolitical,repPolitical,interPartyPolitical,nWords,totCount,demCount,repCount,totCandN,demIncN,repIncN,demCandN,repCandN,maxCandN,secondCandN,maxGap,maxGap2ndRatio,maxToTotalMinusMaxRatio,outlierCapped,maxDemCandN,secondDemCandN,maxDemGap,maxDemGap2ndRatio,maxDemToTotalMinusMaxRatio,outlierCappedDem,maxRepCandN,secondRepCandN,maxRepGap,maxRepToTotalMinusMaxRatio,maxRepGap2ndRatio,outlierCappedRep,bParty,tParty,bDemRCCount,tDemRCCount,bRepRCCount,tRepRCCount,numChar
lower_cost_prescription_drugs,-0.99,2.6,0,55,1,1,1,0,4,67,55,12,49,19,5,42,7,6,3,3,1,0.098,0,3,3,0,0,0.058,0,6,1,5,1,5,0,-0.1,-2.64,2.23,3.39,-3.627,-1.79,29
sexual_orientation_gender_identity,-2.79,-0.1,0,117,1,1,0,1,4,123,117,2,82,32,1,77,2,6,5,1,0.2,0.051,0,6,5,1,0.2,0.054,0,1,1,0,1,0,0,-0.19,-3.27,-0.8,-1.9,-513.944,-0.01,34
access_quality_affordable_healthcare,-1.1,2.08,0,80,1,1,0,0,4,95,80,14,73,29,8,60,12,4,3,1,0.333,0.044,0,4,3,1,0.333,0.053,0,2,2,0,0.167,0,0,-0.14,-3.45,1.26,2.44,-1.856,-1.34,36
lower_prescription_drug_prices,-2.11,1.91,0,42,1,1,0,0,4,53,42,11,45,14,2,38,7,3,2,1,0.5,0.06,0,2,2,0,0,0.05,0,3,2,1,0.375,0.5,0,-0.03,-0.97,2.15,2.38,2.786,1.38,30
law_enforcement_first_responders,-1.74,3.95,0,9,1,1,0,0,4,50,9,41,36,5,5,9,27,7,5,2,0.4,0.163,0,1,1,0,0,0.125,0,7,5,2,0.206,0.4,0,0.02,0.62,3.12,1.93,-0.947,-0.64,32
prescription_drug_prices,-1.37,1.8,0,99,1,1,1,0,3,112,99,13,94,32,3,83,11,3,3,0,0,0.028,0,3,3,0,0,0.031,0,2,2,0,0.182,0,0,-0.14,-4.2,1.2,2.26,-3.626,-1.77,24
access_affordable_healthcare,-1.03,2.02,0,85,1,1,0,0,3,95,85,10,71,35,7,61,10,16,3,13,4.333,0.203,0,16,3,13,4.333,0.232,0,1,1,0,0.111,0,0,-0.18,-4.56,1.2,2.48,-0.202,-0.11,28
low_income_families,-5.45,-1.97,0,86,1,1,0,0,3,99,86,13,62,19,3,51,11,16,5,11,2.2,0.193,0,16,5,11,2.2,0.229,0,2,2,0,0.182,0,0,0.11,2.68,-1.38,-2.1,-2.561,-1.04,19
support_law_enforcement,-2.01,3.09,0,30,1,1,0,0,3,113,30,82,90,7,6,20,69,8,3,5,1.667,0.076,0,8,2,6,3,0.364,0,3,3,0,0.038,0,0,-0.01,-0.37,2.29,1.77,-2.477,-1.37,23
department_veterans_affairs,-1.38,1.65,0,61,1,1,0,0,3,107,61,45,84,30,21,43,40,3,3,0,0,0.029,0,3,3,0,0,0.052,0,3,2,1,0.071,0.5,0,-0.05,-1.18,1.23,2.43,-1.247,-1.32,27
