row,candidate,stateDist,avgIdeal,idealTwitter,idealWeb,twWeight,candStem,liberal,conservative,moderate,thetaExternal,thetaStart,sigmaStart,idealWebLibcon,seThetaWebLibcon,wordCountWebLibcon,idealTwitterLibcon,seThetaTwitterLibcon,wordCountTwitterLibcon,party,partyLeader,incumbent,primaryPct,screenName,officialScreenName,followersCampaign,followersOfficial,house,rep,generalElec,generalElecJungle,district
1,Abigail Spanberger,VA-07,-0.27,-0.28,-0.27,0.42,VA-07-spanberger_abigail-,0,0,1,-0.368825121,-0.368825121,0.5,-0.27,0.0149,4104,-0.28,0.009,33738,D,0,1,100,@SpanbergerVA07,@RepSpanberger,NA,NA,1,0,1,0,VA-07
2,Tom O'Halleran,AZ-02,-0.4,-0.26,-0.7,0.68,AZ-02-ohalleran_tom-,0,0,0,-0.627429057,-0.627429057,0.5,-0.7,0.0551,912,-0.26,0.0106,21578,D,0,1,100,@TomOHalleran,@RepOHalleran,NA,NA,1,0,1,0,AZ-02
3,Peter Meijer,MI-03,0.87,0.91,0.81,0.6,MI-03-meijer_peter-,0,0,1,0.637083105,0.637083105,0.5,0.81,0.0429,840,0.91,0.0115,13979,R,0,1,48.2,@VoteMeijer,@RepMeijer,NA,NA,1,1,0,0,MI-03
4,Jaime Herrera Beutler,WA-03,0.6,0.52,0.65,0.37,WA-03-herrerabeutler_jaime-,0,0,0,0.734823176,0.734823176,0.5,0.65,0.0414,764,0.52,0.0171,4928,R,0,1,22.3,@JaimeForUSRep,@HerreraBeutler,NA,NA,1,1,0,0,WA-03
5,Vicente Gonzalez,TX-34,-0.56,-0.59,-0.49,0.66,TX-34-gonzalez_vicente-,0,0,1,-0.465547066,-0.465547066,0.5,-0.49,0.0496,829,-0.59,0.0145,18250,D,0,1,64.7,@VoteVicente,@RepGonzalez,NA,NA,1,0,1,0,TX-34
6,Elissa Slotkin,MI-07,-0.48,-0.43,-0.52,0.49,MI-07-slotkin_elissa-,0,0,1,-0.438057671,-0.438057671,0.5,-0.52,0.0266,2935,-0.43,0.0104,31611,D,0,1,100,@ElissaSlotkin,@RepSlotkin,NA,NA,1,0,1,0,MI-07
7,Carolyn Bourdeaux,GA-07,-0.84,-0.84,-0.83,0.72,GA-07-bourdeaux_carolyn-,0,0,1,-0.505253969,-0.505253969,0.5,-0.83,0.0509,1174,-0.84,0.0108,34438,D,0,1,30.7,@Carolyn4GA7,@RepBourdeaux,NA,NA,1,0,0,0,GA-07
8,Lou Correa,CA-46,-0.75,-0.82,-0.65,0.59,CA-46-correa_lou-,0,0,0,-0.627429057,-0.627429057,0.5,-0.65,0.0762,521,-0.82,0.0221,8387,D,0,1,49.1,@voteloucorrea,@RepLouCorrea,NA,NA,1,0,1,0,CA-46
9,Elaine Luria,VA-02,-0.43,-0.36,-0.53,0.56,VA-02-luria_elaine-,0,0,0,-0.581613399,-0.581613399,0.5,-0.53,0.037,1679,-0.36,0.0112,24111,D,0,1,100,@ElaineLuriaVA,@RepElaineLuria,NA,NA,1,0,1,0,VA-02
10,Ed Case,HI-01,-0.58,-0.48,-0.62,0.29,HI-01-case_ed-,0,0,1,-0.362716366,-0.362716366,0.5,-0.62,0.0335,2702,-0.48,0.018,12397,D,0,1,83.2,@EdCaseHawaii,@RepEdCase,NA,NA,1,0,1,0,HI-01
11,Jim Costa,CA-21,-0.64,-0.54,-0.86,0.68,CA-21-costa_jim-,0,0,0,-0.83207233,-0.83207233,0.5,-0.86,0.0576,820,-0.54,0.0138,19166,D,0,1,46.9,NA,@RepJimCosta,NA,NA,1,0,1,0,CA-21
12,Kurt Schrader,OR-05,-0.51,-0.43,-0.56,0.42,OR-05-schrader_kurt-,0,0,1,-0.301628822,-0.301628822,0.5,-0.56,0.0497,1022,-0.43,0.0199,8143,D,0,1,42.9,@VoteSchrader,@RepSchrader,NA,NA,1,0,0,0,OR-05
13,Brad Schneider,IL-10,-0.66,-0.73,-0.62,0.39,IL-10-schneider_brad-,0,0,0,-0.590776531,-0.590776531,0.5,-0.62,0.0326,2291,-0.73,0.0157,16671,D,0,1,100,@Schneider4IL10,@RepSchneider,NA,NA,1,0,1,0,IL-10
14,Josh Gottheimer,NJ-05,-0.32,-0.26,-0.42,0.6,NJ-05-gottheimer_josh-,0,0,1,-0.437039545,-0.437039545,0.5,-0.42,0.0291,2003,-0.26,0.0086,34163,D,0,1,100,@JoshGottheimer,@RepJoshG,NA,NA,1,0,1,0,NJ-05
15,Jared Golden,ME-02,-0.36,-0.23,-0.51,0.53,ME-02-golden_jared-,0,0,1,-0.18047186,-0.18047186,0.5,-0.51,0.0529,700,-0.23,0.0167,8973,D,0,1,100,@golden4congress,@RepGolden,NA,NA,1,0,1,0,ME-02
