row,candidate,stateDist,avgIdeal,idealTwitter,idealWeb,twWeight,candStem,liberal,conservative,moderate,thetaExternal,thetaStart,sigmaStart,idealWebLibcon,seThetaWebLibcon,wordCountWebLibcon,idealTwitterLibcon,seThetaTwitterLibcon,wordCountTwitterLibcon,party,partyLeader,incumbent,primaryPct,screenName,officialScreenName,followersCampaign,followersOfficial,house,rep,generalElec,generalElecJungle,district
16,Brian Fitzpatrick,PA-01,0.29,0.3,0.29,0.48,PA-01-fitzpatrick_brian-,0,0,1,0.316373499,0.316373499,0.5,0.29,0.0196,2411,0.3,0.0069,24941,R,0,1,66,@BrianFitzUSA,@RepBrianFitz,NA,NA,1,1,1,0,PA-01
17,Chris Smith,NJ-04,0.68,NA,0.68,0,NJ-04-smith_chris-,0,0,1,0.557669298,0.557669298,0.5,0.68,0.0577,436,NA,NA,NA,R,0,1,57.6,NA,@RepChrisSmith,NA,NA,1,1,1,0,NJ-04
18,David Valadao,CA-22,0.55,0.44,0.68,0.54,CA-22-valadao_david-,0,0,1,0.694098146,0.694098146,0.5,0.68,0.045,723,0.44,0.0117,9392,R,0,1,25.9,@dgvaladao,@RepDavidValadao,NA,NA,1,1,1,0,CA-22
19,David Joyce,OH-14,0.6,0.6,0.6,0.72,OH-14-joyce_david-,0,0,1,0.613666213,0.613666213,0.5,0.6,0.049,573,0.6,0.0096,16154,R,0,1,75.7,@DaveJoyceOH14,@RepDaveJoyce,NA,NA,1,1,1,0,OH-14
20,Maria Elvira Salazar,FL-27,0.68,0.7,0.6,0.76,FL-27-salazar_mariaelvira-,0,0,1,0.592285573,0.592285573,0.5,0.6,0.0537,484,0.7,0.0096,16769,R,0,1,80.8,@MaElviraSalazar,@RepMariaSalazar,NA,NA,1,1,1,0,FL-27
21,Young Kim,CA-40,0.5,0.49,0.51,0.75,CA-40-kim_young-,0,0,1,0.653373117,0.653373117,0.5,0.51,0.034,1061,0.49,0.0063,35575,R,0,1,34.7,@YoungKimCA,@RepYoungKim,NA,NA,1,1,1,0,CA-40
22,Mike Bost,IL-12,0.8,0.74,0.94,0.71,IL-12-bost_mike-,0,0,1,0.680862512,0.680862512,0.5,0.94,0.0544,529,0.74,0.0104,14602,R,0,1,100,@BostForCongress,@RepBost,NA,NA,1,1,1,0,IL-12
23,Andrew Garbarino,NY-02,0.5,0.64,0.37,0.49,NY-02-garbarino_andrew-,0,0,1,0.585158693,0.585158693,0.5,0.37,0.0312,1068,0.64,0.0117,11420,R,0,1,53.7,@GarbarinoforNY,@RepGarbarino,NA,NA,1,1,1,0,NY-02
24,Pete Stauber,MN-08,0.75,0.75,0.73,0.86,MN-08-stauber_pete-,0,0,1,0.698170649,0.698170649,0.5,0.73,0.0656,316,0.75,0.0084,21609,R,0,1,91,@PeteStauber,@RepPeteStauber,NA,NA,1,1,1,0,MN-08
25,Blake Moore,UT-01,0.68,0.54,0.76,0.37,UT-01-moore_blake-,0,0,0,0.844780755,0.844780755,0.5,0.76,0.031,1794,0.54,0.0109,11734,R,0,1,57.6,@ElectBlakeMoore,@RepBlakeMoore,NA,NA,1,1,1,0,UT-01
26,Don Bacon,NE-02,0.68,0.7,0.61,0.73,NE-02-bacon_don-,0,0,1,0.646246237,0.646246237,0.5,0.61,0.0375,1100,0.7,0.007,32657,R,0,1,77.2,@DonJBacon,@RepDonBacon,NA,NA,1,1,1,0,NE-02
27,Bryan Steil,WI-01,0.77,0.77,0.77,0.65,WI-01-steil_bryan-,0,0,0,0.845798881,0.845798881,0.5,0.77,0.0444,664,0.77,0.0108,13749,R,0,1,100,@BryanSteil,@RepBryanSteil,NA,NA,1,1,1,0,WI-01
28,Bill Johnson,OH-06,0.76,0.87,0.72,0.29,OH-06-johnson_bill-,0,0,0,0.842744504,0.842744504,0.5,0.72,0.0245,2298,0.87,0.0123,10482,R,0,1,77.3,@JohnsonLeads,@RepBillJohnson,NA,NA,1,1,1,0,OH-06
29,Mike Gallagher,WI-08,0.81,0.88,0.73,0.55,WI-08-gallagher_mike-,0,0,0,0.849871384,0.849871384,0.5,0.73,0.042,941,0.88,0.0113,12614,R,0,1,84.6,@MikeforWI,@RepGallagher,NA,NA,1,1,1,0,WI-08
30,John Curtis,UT-03,0.66,0.63,0.68,0.31,UT-03-curtis_john-,0,0,0,0.864125144,0.864125144,0.5,0.68,0.03,1508,0.63,0.014,7624,R,0,1,69.7,@CurtisUT,@RepJohnCurtis,NA,NA,1,1,1,0,UT-03
31,Tom Rice,SC-07,0.83,0.85,0.78,0.66,SC-07-rice_tom-,0,0,0,1.016844004,1.016844004,0.5,0.78,0.0674,343,0.85,0.0146,7417,R,0,1,24.5,@TomRiceSC7,@RepTomRice,NA,NA,1,1,0,0,SC-07
32,Josh Harder,CA-09,-0.5,-0.56,-0.37,0.69,CA-09-harder_josh-,0,0,1,-0.481837077,-0.481837077,0.5,-0.37,0.0432,741,-0.56,0.0135,18099,D,0,1,39,@JoshHarder,@RepJoshHarder,NA,NA,1,0,1,0,CA-09
33,Darren Soto,FL-09,-0.85,-0.76,-1.01,0.64,FL-09-soto_darren-,0,0,0,-0.938975532,-0.938975532,0.5,-1.01,0.042,1705,-0.76,0.0108,34390,D,0,1,100,@DarrenSoto,@RepDarrenSoto,NA,NA,1,0,1,0,FL-09
34,Haley Stevens,MI-11,-0.73,-0.75,-0.7,0.6,MI-11-stevens_haley-,0,0,0,-0.512380849,-0.512380849,0.5,-0.7,0.0374,1937,-0.75,0.0111,32990,D,0,1,59.9,@HaleyLive,@RepHaleyStevens,NA,NA,1,0,1,0,MI-11
35,Steven Horsford,NV-04,-0.82,-0.86,-0.73,0.69,NV-04-horsford_steven-,0,0,0,-0.658990955,-0.658990955,0.5,-0.73,0.0461,1199,-0.86,0.0114,29446,D,0,1,100,@StevenHorsford,@RepHorsford,NA,NA,1,0,1,0,NV-04
36,Susan Wild,PA-07,-0.69,-0.66,-0.72,0.42,PA-07-wild_susan-,0,0,1,-0.467583317,-0.467583317,0.5,-0.72,0.0299,3085,-0.66,0.0124,24738,D,0,1,100,@wildforcongress,@RepSusanWild,NA,NA,1,0,1,0,PA-07
37,Chrissy Houlahan,PA-06,-0.5,-0.57,-0.43,0.48,PA-06-houlahan_chrissy-,0,0,0,-0.579577148,-0.579577148,0.5,-0.43,0.0266,2523,-0.57,0.0119,25640,D,0,1,100,@HoulahanForPa,@RepHoulahan,NA,NA,1,0,1,0,PA-06
38,Jimmy Panetta,CA-19,-0.56,-0.47,-0.84,0.76,CA-19-panetta_jimmy-,0,0,0,-0.914540515,-0.914540515,0.5,-0.84,0.0802,707,-0.47,0.0117,24734,D,0,1,68,@JimmyPanetta,@RepJimmyPanetta,NA,NA,1,0,1,0,CA-19
39,David Scott,GA-13,-0.79,-0.82,-0.76,0.45,GA-13-scott_david-,0,0,0,-1.011262459,-1.011262459,0.5,-0.76,0.0679,584,-0.82,0.0275,5433,D,0,1,65.7,@electdavidscott,@repdavidscott,NA,NA,1,0,1,0,GA-13
40,Salud Carbajal,CA-24,-0.65,-0.59,-0.73,0.56,CA-24-carbajal_salud-,0,0,0,-0.796437929,-0.796437929,0.5,-0.73,0.0392,1713,-0.59,0.0125,24417,D,0,1,60.8,@carbajalsalud,@RepCarbajal,NA,NA,1,0,1,0,CA-24
41,Susie Lee,NV-03,-0.58,-0.59,-0.54,0.89,NV-03-lee_susie-,0,0,1,-0.392242013,-0.392242013,0.5,-0.54,0.0822,347,-0.59,0.0106,31556,D,0,1,89.6,@SusieLeeNV,@RepSusieLee,NA,NA,1,0,1,0,NV-03
42,Chris Pappas,NH-01,-0.28,-0.24,-0.33,0.5,NH-01-pappas_chris-,0,0,1,-0.46452894,-0.46452894,0.5,-0.33,0.0221,2415,-0.24,0.0094,27358,D,0,1,100,@ChrisPappasNH,@RepChrisPappas,NA,NA,1,0,1,0,NH-01
43,Tom Malinowski,NJ-07,-0.55,-0.63,-0.42,0.6,NJ-07-malinowski_tom-,0,0,1,-0.499145215,-0.499145215,0.5,-0.42,0.0303,2033,-0.63,0.0107,34095,D,0,1,94.4,@Malinowski,@RepMalinowski,NA,NA,1,0,1,0,NJ-07
44,Dean Phillips,MN-03,-0.84,-1.02,-0.59,0.58,MN-03-phillips_dean-,0,0,0,-0.546997124,-0.546997124,0.5,-0.59,0.0563,889,-1.02,0.018,13524,D,0,1,100,@deanbphillips,@RepDeanPhillips,NA,NA,1,0,1,0,MN-03
45,Cindy Axne,IA-03,-0.51,-0.42,-0.62,0.56,IA-03-axne_cindy-,0,0,0,-0.565323388,-0.565323388,0.5,-0.62,0.0356,1889,-0.42,0.0108,26364,D,0,1,100,@Axne4Congress,@RepCindyAxne,NA,NA,1,0,1,0,IA-03
46,Henry Cuellar,TX-28,-0.67,-0.51,-0.77,0.37,TX-28-cuellar_henry-,0,0,1,-0.352535109,-0.352535109,0.5,-0.77,0.0429,1577,-0.51,0.019,10342,D,0,1,48.4,@CuellarCampaign,@RepCuellar,NA,NA,1,0,1,0,TX-28
47,Mikie Sherrill,NJ-11,-0.46,-0.42,-0.49,0.41,NJ-11-sherrill_mikie-,0,0,1,-0.510344598,-0.510344598,0.5,-0.49,0.0225,4016,-0.42,0.0103,31297,D,0,1,100,@MikieSherrill,@RepSherrill,NA,NA,1,0,1,0,NJ-11
48,Scott Peters,CA-50,-0.62,-0.71,-0.6,0.22,CA-50-peters_scott-,0,0,1,-0.500163341,-0.500163341,0.5,-0.6,0.0229,4899,-0.71,0.0164,15752,D,0,1,52.4,@ScottPetersSD,@RepScottPeters,NA,NA,1,0,1,0,CA-50
49,Mark Kelly,AZ-Sen03,-0.21,-0.18,-0.34,0.82,AZ-Sen03-kelly_mark-,0,0,1,-0.436021419,-0.436021419,0.5,-0.34,0.0466,644,-0.18,0.008,33122,D,0,1,100,@CaptMarkKelly,@SenMarkKelly,NA,NA,0,0,1,0,AZ-Se
50,Jim Cooper,TN-05,-1.03,-1.03,NA,1,TN-05-cooper_jim-,0,0,0,-0.565323388,-0.565323388,0.5,NA,NA,NA,-1.03,0.0225,7925,D,0,1,NA,@CoopForCongress,@repjimcooper,NA,NA,1,0,0,0,TN-05
51,Lisa Murkowski,AK-Sen03,0.23,0.23,0.22,0.66,AK-Sen03-murkowski_lisa-,0,0,1,0.276666595,0.276666595,0.5,0.22,0.0223,1503,0.23,0.0055,33132,R,0,1,44.6,@LisaForSenate,@lisamurkowski,NA,NA,0,1,1,1,AK-Se
52,Elise Stefanik,NY-21,0.96,1.1,0.69,0.67,NY-21-stefanik_elise-,0,0,0,0.867179521,0.867179521,0.5,0.69,0.0312,1570,1.1,0.0063,35202,R,0,1,100,@EliseStefanik,@RepStefanik,NA,NA,1,1,1,0,NY-21
53,Nicole Malliotakis,NY-11,0.71,0.83,0.44,0.7,NY-11-malliotakis_nicole-,0,0,1,0.625883722,0.625883722,0.5,0.44,0.0307,1314,0.83,0.0067,34960,R,0,1,78.5,@NMalliotakis,@RepMalliotakis,NA,NA,1,1,1,0,NY-11
54,Mike Turner,OH-10,0.62,0.69,0.54,0.54,OH-10-turner_mike-,0,0,0,0.859034515,0.859034515,0.5,0.54,0.0394,817,0.69,0.0121,10821,R,0,1,100,@MikeTurnerOH,@RepMikeTurner,NA,NA,1,1,1,0,OH-10
55,Mariannette Miller-Meeks,IA-01,0.61,0.61,NA,1,IA-01-miller-meeks_mariannette-,0,0,1,0.692061895,0.692061895,0.5,NA,NA,NA,0.61,0.0069,30533,R,0,1,100,@millermeeks,@RepMMM,NA,NA,1,1,1,0,IA-01
56,David McKinley,WV-02,0.76,0.78,0.72,0.6,WV-02-mckinley_david-,0,0,1,0.72667817,0.72667817,0.5,0.72,0.0485,539,0.78,0.0128,9140,R,0,1,35.6,@McKinleyforWV,@RepMcKinley,NA,NA,1,1,0,0,WV-02
57,Jeff Van Drew,NJ-02,1,1.22,0.89,0.34,NJ-02-vandrew_jeff-,0,0,1,0.546469915,0.546469915,0.5,0.89,0.0486,527,1.22,0.0216,3103,R,0,1,86.1,@Congressman_JVD,@CongressmanJVD,NA,NA,1,1,1,0,NJ-02
58,Jay Obernolte,CA-23,0.59,0.56,0.66,0.65,CA-23-obernolte_jay-,0,0,0,0.763330696,0.763330696,0.5,0.66,0.0497,571,0.56,0.0111,12046,R,0,1,60.9,@TeamObernolte,@JayObernolte,NA,NA,1,1,1,0,CA-23
59,Dan Newhouse,WA-04,0.6,0.61,0.56,0.77,WA-04-newhouse_dan-,0,0,1,0.68595314,0.68595314,0.5,0.56,0.039,763,0.61,0.0073,27869,R,0,1,25.5,@Newhouse4Rep,@RepNewhouse,NA,NA,1,1,1,0,WA-04
60,Nancy Mace,SC-01,0.84,0.88,0.79,0.55,SC-01-mace_nancy-,0,0,0,0.866161396,0.866161396,0.5,0.79,0.0273,2489,0.88,0.0069,34033,R,0,1,53.1,@NancyMace,@RepNancyMace,NA,NA,1,1,1,0,SC-01
61,Mark Amodei,NV-02,0.69,0.53,0.71,0.12,NV-02-amodei_mark-,0,0,0,0.763330696,0.763330696,0.5,0.71,0.0313,1553,0.53,0.024,2318,R,0,1,54.7,@AmodeiForNevada,@MarkAmodeiNV2,NA,NA,1,1,1,0,NV-02
62,Cathy McMorris Rodgers,WA-05,0.81,0.92,0.67,0.57,WA-05-mcmorrisrodgers_cathy-,0,0,0,0.843762629,0.843762629,0.5,0.67,0.0318,1333,0.92,0.0087,19557,R,0,1,51.6,@TeamCMR,@cathymcmorris,NA,NA,1,1,1,0,WA-05
63,Michael McCaul,TX-10,0.88,0.94,0.61,0.81,TX-10-mccaul_michael-,0,0,0,0.775548205,0.775548205,0.5,0.61,0.0623,374,0.94,0.0094,18164,R,0,1,100,@McCaulforTexas,@RepMcCaul,NA,NA,1,1,1,0,TX-10
64,Troy Balderson,OH-12,0.75,0.74,0.77,0.69,OH-12-balderson_troy-,0,0,0,0.829508869,0.829508869,0.5,0.77,0.061,439,0.74,0.0124,10803,R,0,1,82.4,@Troy_Balderson,@RepBalderson,NA,NA,1,1,1,0,OH-12
65,Dusty Johnson,SD-00,0.7,0.62,0.96,0.76,SD-00-johnson_dusty-,0,0,0,0.848853258,0.848853258,0.5,0.96,0.0724,304,0.62,0.012,10639,R,0,1,59.3,@DustyJohnson,@RepDustyJohnson,NA,NA,1,1,1,0,SD-00
66,Cliff Bentz,OR-02,0.89,0.96,0.87,0.17,OR-02-bentz_cliff-,0,0,0,0.848853258,0.848853258,0.5,0.87,0.0285,1952,0.96,0.0183,4623,R,0,1,75.4,@CliffBentz,@RepBentz,NA,NA,1,1,1,0,OR-02
67,Dan Meuser,PA-09,0.92,0.94,0.87,0.7,PA-09-meuser_dan-,0,0,0,0.89365079,0.89365079,0.5,0.87,0.0543,480,0.94,0.0114,12393,R,0,1,100,@Meuser4Congress,@RepMeuser,NA,NA,1,1,1,0,PA-09
68,Michael Burgess,TX-26,1,1.05,0.9,0.66,TX-26-burgess_michael-,0,0,0,0.990372735,0.990372735,0.5,0.9,0.0393,1127,1.05,0.008,24395,R,0,1,66.8,@DrBurgessTX,@michaelcburgess,NA,NA,1,1,1,0,TX-26
69,Evan McMullin,UT-Sen03,0.19,0.27,0.04,0.64,UT-Sen03-mcmullin_evan-,0,0,1,NA,0,0.5,0.04,0.0393,1113,0.27,0.0273,21687,I,0,0,100,@evanmcmullin,NA,NA,NA,0,0,1,0,UT-Se
70,Sean Casten,IL-06,-1.28,-1.35,-1.14,0.66,IL-06-casten_sean-,0,0,0,-1.447020274,-1.447020274,0.5,-1.14,0.0426,1559,-1.35,0.0105,33194,D,0,1,68.1,@SeanCasten,@RepCasten,NA,NA,1,0,1,0,IL-06
71,Shontel Brown,OH-11,-1.16,-1.09,-1.31,0.7,OH-11-brown_shontel-,0,0,0,-1.352334581,-1.352334581,0.5,-1.31,0.0468,1081,-1.09,0.0122,28126,D,0,1,66.3,@ShontelMBrown,@RepShontelBrown,NA,NA,1,0,1,0,OH-11
72,Madeleine Dean,PA-04,-1.13,-1.17,-1.11,0.36,PA-04-dean_madeleine-,0,0,0,-1.089658141,-1.089658141,0.5,-1.11,0.038,2016,-1.17,0.0175,12599,D,0,1,100,@MadeleineDean,@RepDean,NA,NA,1,0,1,0,PA-04
73,Lori Trahan,MA-03,-1.06,-0.96,-1.21,0.62,MA-03-trahan_lori-,0,0,0,-1.03976998,-1.03976998,0.5,-1.21,0.0389,1891,-0.96,0.0107,33899,D,0,1,99.6,@LoriTrahanMA,@RepLoriTrahan,NA,NA,1,0,1,0,MA-03
74,Colin Allred,TX-32,-0.68,-0.67,-0.7,0.73,TX-32-allred_colin-,0,0,0,-0.54801525,-0.54801525,0.5,-0.7,0.0484,1125,-0.67,0.0105,33278,D,0,1,100,@ColinAllredTX,@RepColinAllred,NA,NA,1,0,1,0,TX-32
75,Andre Carson,IN-07,-1.04,-1.06,-1.04,0.14,IN-07-carson_andre-,0,0,0,-1.118165662,-1.118165662,0.5,-1.04,0.0221,6108,-1.06,0.0189,10883,D,0,1,93.9,@Andre4Congress,@RepAndreCarson,NA,NA,1,0,1,0,IN-07
76,Donald Norcross,NJ-01,-0.87,-0.95,-0.73,0.66,NJ-01-norcross_donald-,0,0,0,-0.819854821,-0.819854821,0.5,-0.73,0.0398,1635,-0.95,0.0106,35060,D,0,1,77.3,@DonNorcross4NJ,@DonaldNorcross,NA,NA,1,0,1,0,NJ-01
77,Veronica Escobar,TX-16,-1.23,-1.18,-1.46,0.82,TX-16-escobar_veronica-,1,0,0,-1.555959728,-1.555959728,0.5,-1.46,0.0545,676,-1.18,0.0104,34486,D,0,1,87.8,@vgescobar,@RepEscobar,NA,NA,1,0,1,0,TX-16
78,Gregory Meeks,NY-05,-1.34,-1.23,-1.38,0.29,NY-05-meeks_gregory-,0,0,0,-1.0326431,-1.0326431,0.5,-1.38,0.0395,1600,-1.23,0.0236,7249,D,0,1,100,@GregMeeksNYC,@RepGregoryMeeks,NA,NA,1,0,1,0,NY-05
79,Debbie Dingell,MI-06,-0.75,-0.7,-0.88,0.72,MI-06-dingell_debbie-,0,0,0,-0.787274798,-0.787274798,0.5,-0.88,0.0522,975,-0.7,0.0118,28071,D,0,1,100,@DebDingell,@RepDebDingell,NA,NA,1,0,1,0,MI-06
80,Frank Pallone,NJ-06,-0.86,-0.88,-0.77,0.79,NJ-06-pallone_frank-,0,0,0,-1.127328793,-1.127328793,0.5,-0.77,0.0599,834,-0.88,0.0108,35057,D,0,1,100,@pallonefornj,@FrankPallone,NA,NA,1,0,1,0,NJ-06
81,Juan Vargas,CA-52,-1.28,-1.26,-1.31,0.54,CA-52-vargas_juan-,0,0,0,-1.256630761,-1.256630761,0.5,-1.31,0.0501,1087,-1.26,0.0154,14335,D,0,1,59.1,@JuanVargas4CA,@RepJuanVargas,NA,NA,1,0,1,0,CA-52
82,Marilyn Strickland,WA-10,-0.91,-0.8,-1.04,0.54,WA-10-strickland_marilyn-,0,0,0,-0.975628059,-0.975628059,0.5,-1.04,0.041,1492,-0.8,0.0142,19405,D,0,1,55.4,@StricklandforWA,@RepStricklandWA,NA,NA,1,0,1,0,WA-10
83,Marc Veasey,TX-33,-0.9,-0.96,-0.84,0.51,TX-33-veasey_marc-,0,0,0,-0.593830908,-0.593830908,0.5,-0.84,0.0446,1513,-0.96,0.015,17470,D,0,1,69.3,@MarcVeasey,@RepVeasey,NA,NA,1,0,1,0,TX-33
84,Brendan Boyle,PA-02,-1.23,-1.21,-1.27,0.72,PA-02-boyle_brendan-,0,0,0,-1.392041484,-1.392041484,0.5,-1.27,0.073,506,-1.21,0.0166,14912,D,0,1,100,@CongBoyle,@RepBrendanBoyle,NA,NA,1,0,1,0,PA-02
85,Joaquin Castro,TX-20,-1.07,-1.11,-0.92,0.78,TX-20-castro_joaquin-,0,0,0,-1.100857524,-1.100857524,0.5,-0.92,0.0651,686,-1.11,0.0122,27074,D,0,1,100,@Castro4Congress,@JoaquinCastrotx,NA,NA,1,0,1,0,TX-20
86,Mike Thompson,CA-04,-0.56,-0.52,-0.64,0.64,CA-04-thompson_mike-,0,0,0,-0.538852118,-0.538852118,0.5,-0.64,0.0386,1761,-0.52,0.01,35057,D,0,1,67,@Mike_CA05,@RepThompson,NA,NA,1,0,1,0,CA-04
87,Terri Sewell,AL-07,-1.06,-1.08,-1.03,0.55,AL-07-sewell_terri-,1,0,0,-1.45516528,-1.45516528,0.5,-1.03,0.0424,1473,-1.08,0.0138,20442,D,0,1,100,@Sewell4Congress,@RepTerriSewell,NA,NA,1,0,1,0,AL-07
88,Nikema Williams,GA-05,-1.43,-1.43,-1.45,0.82,GA-05-williams_nikema-,0,0,0,-1.104930027,-1.104930027,0.5,-1.45,0.0592,634,-1.43,0.0098,31910,D,0,1,86.3,@NikemaWilliams,@RepNikema,NA,NA,1,0,1,0,GA-05
89,Don Beyer,VA-08,-1.1,-1.13,-1.05,0.59,VA-08-beyer_don-,0,0,0,-0.899268629,-0.899268629,0.5,-1.05,0.0376,2142,-1.13,0.0107,34982,D,0,1,77.4,@DonBeyerVA,@RepDonBeyer,NA,NA,1,0,1,0,VA-08
90,Deborah Ross,NC-02,-0.83,-0.77,-0.92,0.63,NC-02-ross_deborah-,0,0,0,-0.898250503,-0.898250503,0.5,-0.92,0.0433,1593,-0.77,0.0114,30678,D,0,1,100,@DeborahRossNC,@RepDeborahRoss,NA,NA,1,0,1,0,NC-02
91,Tony Cardenas,CA-29,-1.16,-1.13,-1.22,0.66,CA-29-cardenas_tony-,0,0,0,-1.183325709,-1.183325709,0.5,-1.22,0.0493,1080,-1.13,0.0129,23050,D,0,1,56.9,@Tcardenas,@RepCardenas,NA,NA,1,0,1,1,CA-29
92,Lizzie Fletcher,TX-07,-0.65,-0.67,-0.64,0.42,TX-07-fletcher_lizzie-,0,0,0,-0.512380849,-0.512380849,0.5,-0.64,0.033,2361,-0.67,0.0148,19454,D,0,1,100,@Lizzie4Congress,@RepFletcher,NA,NA,1,0,1,0,TX-07
93,Donald McEachin,VA-04,-0.89,-0.83,-1.12,0.81,VA-04-mceachin_donald-,0,0,0,-0.855489222,-0.855489222,0.5,-1.12,0.0816,400,-0.83,0.0151,18948,D,0,1,100,@Donald_McEachin,@RepMcEachin,NA,NA,1,0,1,0,VA-04
94,Rick Larsen,WA-02,-0.73,-0.69,-0.88,0.77,WA-02-larsen_rick-,0,0,0,-1.121220039,-1.121220039,0.5,-0.88,0.0626,803,-0.69,0.0118,29881,D,0,1,45.9,@larsenrick,@RepRickLarsen,NA,NA,1,0,1,0,WA-02
95,Norma Torres,CA-35,-0.97,-0.96,-0.99,0.81,CA-35-torres_norma-,0,0,0,-0.920649269,-0.920649269,0.5,-0.99,0.0632,728,-0.96,0.0111,34149,D,0,1,54.3,@Norma4Congress,@NormaJTorres,NA,NA,1,0,1,0,CA-35
96,Matt Cartwright,PA-08,-0.51,-0.47,-0.58,0.59,PA-08-cartwright_matt-,0,0,0,-0.670190338,-0.670190338,0.5,-0.58,0.0566,741,-0.47,0.0164,12164,D,0,1,100,@CartwrightPA,@RepCartwright,NA,NA,1,0,1,0,PA-08
