term,b0,b1,b1prior,count,party,political,demPolitical,repPolitical,interPartyPolitical,nWords,totCount,demCount,repCount,totCandN,demIncN,repIncN,demCandN,repCandN,maxCandN,secondCandN,maxGap,maxGap2ndRatio,maxToTotalMinusMaxRatio,outlierCapped,maxDemCandN,secondDemCandN,maxDemGap,maxDemGap2ndRatio,maxDemToTotalMinusMaxRatio,outlierCappedDem,maxRepCandN,secondRepCandN,maxRepGap,maxRepToTotalMinusMaxRatio,maxRepGap2ndRatio,outlierCappedRep,bParty,tParty,bDemRCCount,tDemRCCount,bRepRCCount,tRepRCCount,numChar
right_vote,-3.33,-1.03,0,209,D,1,1,1,1,2,233,209,24,140,32,3,128,12,8,8,0,0,0.036,0,8,6,2,0.333,0.04,0,8,4,4,0.5,1,0,-0.13,-2.39,-0.81,-1.82,-6.03,-3.66,10
attend_college,-4.51,-1.45,0,67,D,1,1,0,1,2,82,67,15,75,20,3,61,14,2,2,0,0,0.025,0,2,2,0,0,0.031,0,2,1,1,0.154,1,0,-0.06,-2.04,-1.25,-1.91,-0.944,-0.45,14
environmental_justice,-4.77,-1.84,0,125,D,1,1,0,1,2,126,125,1,78,16,0,77,1,7,4,3,0.75,0.059,0,7,4,3,0.75,0.059,0,1,0,1,0,0,0,-0.1,-2.6,-1.69,-2.72,0,0,21
healthcare_decisions,-1.69,1.49,0,75,D,1,1,1,1,2,132,75,57,104,26,20,60,44,3,3,0,0,0.023,0,3,3,0,0,0.042,0,3,2,1,0.056,0.5,0,0.11,2.21,1.81,3.08,1.282,1.7,20
racial_justice,-6.27,-2.71,0,80,D,1,1,0,1,2,82,80,2,61,12,0,59,2,4,3,1,0.333,0.051,0,4,3,1,0.333,0.053,0,1,1,0,1,0,0,-0.05,-1.93,-2.58,-3.07,0,0,14
qualified_immunity,-6.34,-2.7,0,74,D,1,1,0,1,2,76,74,2,59,10,0,57,2,4,4,0,0,0.056,0,4,4,0,0,0.057,0,1,1,0,1,0,0,-0.04,-1.7,-2.55,-2.94,0,0,18
cum_laude,-5.36,-1.92,0,29,D,1,1,0,1,2,51,29,22,44,13,4,25,19,3,2,1,0.5,0.062,0,3,2,1,0.5,0.115,0,2,2,0,0.1,0,0,-0.05,-1.78,-1.8,-2.14,-0.875,-0.48,9
vice_chair,-3.11,-1.27,0,106,D,1,1,1,1,2,131,106,25,91,50,6,71,20,5,4,1,0.25,0.04,0,5,4,1,0.25,0.05,0,3,2,1,0.136,0.5,0,-0.3,-4.5,-1.08,-2.98,-2.462,-2.17,10
congress_president,-3.03,2.36,0,34,D,1,1,1,1,2,56,34,22,49,5,8,30,19,3,3,0,0,0.057,0,3,2,1,0.5,0.097,0,3,2,1,0.158,0.5,0,0.06,2.64,2.8,1.7,2.973,2.09,18
securing_borders,-2.03,3.84,0,12,D,1,1,1,1,2,58,12,46,56,6,16,12,44,2,2,0,0,0.036,0,1,1,0,0,0.091,0,2,2,0,0.045,0,0,0.08,3.11,3.7,2.45,2.093,2.09,16
individual,-1.62,0.19,0,510,D,1,1,1,1,1,1073,510,561,539,47,59,261,276,17,16,1,0.062,0.016,0,16,11,5,0.455,0.032,0,17,14,3,0.031,0.214,0,0.52,5.5,0.65,1.94,0.739,1.88,10
government,0.16,0.18,0,2717,D,1,1,1,1,1,5977,2717,3221,1294,160,143,641,645,145,84,61,0.726,0.025,1,44,42,2,0.048,0.016,0,145,84,61,0.047,0.726,1,2.32,7.19,0.47,3.52,0.544,3.4,10
justice,-1.8,-1.11,0,1025,D,1,1,0,1,1,1269,1025,241,521,95,32,389,130,23,14,9,0.643,0.018,0,23,14,9,0.643,0.023,0,9,8,1,0.039,0.125,0,-0.4,-2.82,-0.87,-4.37,-0.751,-1.45,7
defense,-0.59,0.86,0,471,D,1,1,1,1,1,902,471,431,457,69,68,213,244,13,9,4,0.444,0.015,0,9,8,1,0.125,0.019,0,13,9,4,0.031,0.444,0,0.55,3.8,1.14,4.4,0.543,1.67,7
defend,-1.32,0.36,0,376,D,1,1,1,1,1,949,376,573,554,66,75,227,327,9,7,2,0.286,0.01,0,7,6,1,0.167,0.019,0,9,6,3,0.016,0.5,0,0.52,5.29,0.68,2.23,0.886,2.51,6
city,-2.02,-1.39,0,952,D,1,1,0,1,1,1587,952,610,585,85,34,318,261,26,23,3,0.13,0.017,0,26,23,3,0.13,0.028,0,23,16,7,0.039,0.438,0,-0.4,-1.89,-1.15,-5.91,-0.373,-0.75,4
states,-0.7,-0.01,0,1147,D,1,1,1,1,1,1799,1147,644,693,100,55,401,287,30,28,2,0.071,0.017,0,26,22,4,0.182,0.023,0,30,28,2,0.049,0.071,0,0.29,1.77,0.38,2.01,0.669,1.83,6
best,-0.27,0.52,0,1160,D,1,1,1,1,1,2199,1160,1028,936,111,104,482,450,16,13,3,0.231,0.007,0,13,13,0,0,0.011,0,16,13,3,0.016,0.231,0,0.64,4.07,0.82,4.26,0.634,2.34,4
conditions,-2.8,-1.32,0,496,D,1,1,1,1,1,644,496,144,341,62,11,261,77,28,10,18,1.8,0.045,0,10,9,1,0.111,0.021,0,28,8,20,0.241,2.5,0,-0.21,-2.67,-1.06,-3.58,-2.622,-2.87,10
business,-0.52,0.29,0,1225,D,1,1,1,1,1,2514,1225,1275,964,107,100,482,477,35,21,14,0.667,0.014,0,21,19,2,0.105,0.017,0,35,17,18,0.028,1.059,0,0.93,4.59,0.63,3.18,0.563,2.26,8
