row,candidate,stateDist,avgIdeal,idealTwitter,idealWeb,twWeight,candStem,liberal,conservative,moderate,thetaExternal,thetaStart,sigmaStart,idealWebLibcon,seThetaWebLibcon,wordCountWebLibcon,idealTwitterLibcon,seThetaTwitterLibcon,wordCountTwitterLibcon,party,partyLeader,incumbent,primaryPct,screenName,officialScreenName,followersCampaign,followersOfficial,house,rep,generalElec,generalElecJungle,district
2210,Tim Scott,SC-Sen03,0.92,0.92,NA,1,SC-Sen03-scott_tim-,0,0,0,1.16222318,1.16222318,0.5,NA,NA,NA,0.92,0.0134,13604,R,0,1,NA,@votetimscott,@SenatorTimScott,NA,NA,0,1,0,0,SC-Se
2211,Brian Wirth,SD-00,NA,NA,NA,NA,SD-00-wirth_brian-,0,0,0,NA,-0.870059059,0.5,NA,NA,NA,NA,NA,NA,D,0,0,0,NA,NA,NA,NA,1,0,0,0,SD-00
2212,Dusty Johnson,SD-00,0.91,0.85,1.1,0.74,SD-00-johnson_dusty-,0,0,0,1.033899955,1.033899955,0.5,1.1,0.093,272,0.85,0.0161,9342,R,0,1,76.7,@DustyJohnson,@RepDustyJohnson,4316,NA,1,1,1,0,SD-00
2213,Elizabeth May,SD-00,NA,NA,NA,NA,SD-00-may_elizabeth-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,23.3,NA,NA,NA,NA,1,1,0,0,SD-00
2214,Randy Luallin,SD-00,NA,NA,NA,NA,SD-00-luallin_randy-,0,0,0,NA,0,0.5,NA,NA,NA,NA,NA,NA,L,0,0,0,NA,NA,NA,NA,1,0,1,0,SD-00
2215,Whitney Raver,SD-00,-0.79,-1.48,-0.48,0.31,SD-00-raver_whitney-,0,0,0,NA,-0.870059059,0.5,-0.48,0.0737,526,-1.48,0.0277,2813,D,0,0,0,@Whitney_Raver,NA,602,NA,1,0,0,0,SD-00
2216,Dan Ahlers,SD-Sen02,-0.4,-0.56,-0.38,0.11,SD-Sen02-ahlers_dan-,0,0,0,NA,-0.870059059,0.5,-0.38,0.0456,1292,-0.56,0.04,1819,D,0,0,100,@ahlers_dan,NA,7056,NA,0,0,1,0,SD-Se
2217,Mike Rounds,SD-Sen02,0.75,0.74,0.77,0.64,SD-Sen02-rounds_mike-,0,0,0,0.604945747,0.604945747,0.5,0.77,0.0482,745,0.74,0.0128,15377,R,0,1,75.2,@RoundsforSenate,@SenatorRounds,2716,NA,0,1,1,0,SD-Se
2218,Scyller Borglum,SD-Sen02,1.12,NA,1.12,0,SD-Sen02-borglum_scyller-,0,0,0,NA,1.034735001,0.5,1.12,0.0806,294,NA,NA,NA,R,0,0,24.8,NA,NA,NA,NA,0,1,0,0,SD-Se
2219,John Thune,SD-Sen03,0.92,0.92,NA,1,SD-Sen03-thune_john-,0,0,0,0.709296501,0.709296501,0.5,NA,NA,NA,0.92,0.0117,16655,R,0,1,NA,@johnthune,@SenJohnThune,NA,NA,0,1,0,0,SD-Se
2220,Blair Walsingham,TN-01,-1.02,-1.2,-0.5,0.74,TN-01-walsingham_blair-,0,0,0,NA,-0.870059059,0.5,-0.5,0.0922,393,-1.2,0.0143,13380,D,0,0,52.7,@BlairWalsingham,NA,5543,NA,1,0,1,0,TN-01
2221,Carter Quillen,TN-01,NA,NA,NA,NA,TN-01-quillen_carter-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,0.9,NA,NA,NA,NA,1,1,0,0,TN-01
2222,Chad Fleenor,TN-01,NA,NA,NA,NA,TN-01-fleenor_chad-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,0.3,NA,NA,NA,NA,1,1,0,0,TN-01
2223,Chance Cansler,TN-01,NA,NA,NA,NA,TN-01-cansler_chance-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,0.2,NA,NA,NA,NA,1,1,0,0,TN-01
2224,Charles Allen,TN-01,NA,NA,NA,NA,TN-01-allen_charles-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,0,NA,NA,NA,NA,1,1,0,0,TN-01
2225,Chris Rowe,TN-01,-1.16,-1.33,-0.73,0.72,TN-01-rowe_chris-,0,0,0,NA,-0.870059059,0.5,-0.73,0.0838,526,-1.33,0.0123,15553,D,0,0,33.6,@ChrisForTN1,NA,4326,NA,1,0,0,0,TN-01
2226,Chuck Miller,TN-01,NA,NA,NA,NA,TN-01-miller_chuck-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,0.2,NA,NA,NA,NA,1,1,0,0,TN-01
2227,Dan Street,TN-01,NA,NA,NA,NA,TN-01-street_dan-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,0,NA,NA,NA,NA,1,1,0,0,TN-01
2228,David Hawk,TN-01,1.01,NA,1.01,0,TN-01-hawk_david-,0,0,0,NA,1.034735001,0.5,1.01,0.0647,501,NA,NA,NA,R,0,0,5,NA,NA,NA,NA,1,1,0,0,TN-01
2229,Diana Harshbarger,TN-01,1.17,1.19,1.16,0.2,TN-01-harshbarger_diana-,0,0,0,NA,1.034735001,0.5,1.16,0.0492,732,1.19,0.0323,2189,R,0,0,19.2,@DHarshbargerTN1,@RepHarshbarger,2520,NA,1,1,1,0,TN-01
2230,Dustin Decal,TN-01,NA,NA,NA,NA,TN-01-decal_dustin-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,0,@tesDecal,NA,NA,NA,1,1,0,0,TN-01
2231,J.S. Moore,TN-01,NA,NA,NA,NA,TN-01-moore_js-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,0,NA,NA,NA,NA,1,1,0,0,TN-01
2232,Jay Adkins,TN-01,NA,NA,NA,NA,TN-01-adkins_jay-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,1.7,NA,NA,NA,NA,1,1,0,0,TN-01
2233,John Clark,TN-01,1.04,NA,1.04,0,TN-01-clark_john-,0,0,0,NA,1.034735001,0.5,1.04,0.0414,1135,NA,NA,NA,R,0,0,9.4,@VoteJohnClark,NA,NA,NA,1,1,0,0,TN-01
2234,Josh Gapp,TN-01,1.42,NA,1.42,0,TN-01-gapp_josh-,0,0,0,NA,1.034735001,0.5,1.42,0.0412,1021,NA,NA,NA,R,0,0,14.2,NA,NA,NA,NA,1,1,0,0,TN-01
2235,Larry Smith,TN-01,NA,NA,NA,NA,TN-01-smith_larry-,0,0,0,NA,-0.870059059,0.5,NA,NA,NA,NA,NA,NA,D,0,0,13.7,@larryfortn01,NA,NA,NA,1,0,0,0,TN-01
2236,Nichole Williams,TN-01,1.34,NA,1.34,0,TN-01-williams_nichole-,0,0,0,NA,1.034735001,0.5,1.34,0.0882,273,NA,NA,NA,R,0,0,3,@Nicholefor2020,NA,NA,NA,1,1,0,0,TN-01
2237,Phil Arlinghaus,TN-01,NA,NA,NA,NA,TN-01-arlinghaus_phil-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,0.3,NA,NA,NA,NA,1,1,0,0,TN-01
2238,Richard Baker,TN-01,NA,NA,NA,NA,TN-01-baker_richard-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,0.3,NA,NA,NA,NA,1,1,0,0,TN-01
2239,Robert Franklin,TN-01,NA,NA,NA,NA,TN-01-franklin_robert-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,0.2,NA,NA,NA,NA,1,1,0,0,TN-01
2240,Rusty Crowe,TN-01,1.12,0.94,1.12,0.02,TN-01-crowe_rusty-,0,0,0,NA,1.034735001,0.5,1.12,0.0466,1004,0.94,0.0941,284,R,0,0,16.1,@Crowe4Congress,NA,NA,NA,1,1,0,0,TN-01
2241,Steve Darden,TN-01,1.1,NA,1.1,0,TN-01-darden_steve-,0,0,0,NA,1.034735001,0.5,1.1,0.1039,225,NA,NA,NA,R,0,0,12.4,@darden_for,NA,NA,NA,1,1,0,0,TN-01
2242,Steve Holder,TN-01,NA,NA,NA,NA,TN-01-holder_steve-,0,0,0,NA,0,0.5,NA,NA,NA,NA,NA,NA,I,0,0,0,NA,NA,NA,NA,1,0,1,0,TN-01
2243,Timothy Hill,TN-01,NA,NA,NA,NA,TN-01-hill_timothy-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,16.7,NA,NA,NA,NA,1,1,0,0,TN-01
2244,Chance Brown,TN-02,-1.08,NA,-1.08,0,TN-02-brown_chance-,0,0,0,NA,-0.870059059,0.5,-1.08,0.066,697,NA,NA,NA,D,0,0,12.9,NA,NA,NA,NA,1,0,0,0,TN-02
2245,Renee Hoyos,TN-02,-0.72,-0.8,-0.61,0.59,TN-02-hoyos_renee-,0,0,0,NA,-0.870059059,0.5,-0.61,0.071,578,-0.8,0.0175,9842,D,0,0,87.1,@RVHoyos,NA,10098,NA,1,0,1,0,TN-02
2246,Tim Burchett,TN-02,1.48,1.5,1.4,0.76,TN-02-burchett_tim-,0,1,0,1.386399523,1.386399523,0.5,1.4,0.0439,797,1.5,0.0081,29236,R,0,1,100,@timburchett,@RepTimBurchett,NA,NA,1,1,1,0,TN-02
2247,Amber Hysell,TN-03,NA,NA,NA,NA,TN-03-hysell_amber-,0,0,0,NA,0,0.5,NA,NA,NA,NA,NA,NA,I,0,0,0,NA,NA,NA,NA,1,0,1,0,TN-03
2248,Chuck Fleischmann,TN-03,1.18,1.14,1.24,0.65,TN-03-fleischmann_chuck-,0,0,0,0.96121859,0.96121859,0.5,1.24,0.0483,706,1.14,0.0119,15171,R,0,1,100,@chuck4congress,@RepChuck,2668,NA,1,1,1,0,TN-03
2249,Meg Gorman,TN-03,-0.92,-0.96,-0.9,0.35,TN-03-gorman_meg-,0,0,0,NA,-0.870059059,0.5,-0.9,0.0451,1531,-0.96,0.0173,9638,D,0,0,100,@Meg4Congress,NA,13851,NA,1,0,1,0,TN-03
2250,Christopher Hale,TN-04,-0.47,NA,-0.47,0,TN-04-hale_christopher-,0,0,0,NA,-0.870059059,0.5,-0.47,0.0525,1116,NA,NA,NA,D,0,0,59,NA,NA,NA,NA,1,0,1,0,TN-04
2251,Doug Meyer,TN-04,1.37,NA,1.37,0,TN-04-meyer_doug-,0,0,0,NA,1.034735001,0.5,1.37,0.0501,873,NA,NA,NA,R,0,0,18.3,NA,NA,NA,NA,1,1,0,0,TN-04
2252,Michael Franklin,TN-04,-1.06,-1.06,NA,1,TN-04-franklin_michael-,0,0,0,NA,-0.870059059,0.5,NA,NA,NA,-1.06,0.0152,16953,D,0,0,0,@franklinavenue,NA,19044,NA,1,0,0,0,TN-04
2253,Noelle Bivens,TN-04,-1.32,NA,-1.32,0,TN-04-bivens_noelle-,0,0,0,NA,-0.870059059,0.5,-1.32,0.0286,2332,NA,NA,NA,D,0,0,41,NA,NA,NA,NA,1,0,0,0,TN-04
2254,Randy Sharp,TN-04,NA,NA,NA,NA,TN-04-sharp_randy-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,10.7,NA,NA,NA,NA,1,1,0,0,TN-04
2255,Scott DesJarlais,TN-04,1.48,1.65,1.29,0.54,TN-04-desjarlais_scott-,0,0,0,1.171961251,1.171961251,0.5,1.29,0.0499,753,1.65,0.0119,10249,R,0,1,71.1,@tndesjarlais,@DesJarlaisTN04,1761,NA,1,1,1,0,TN-04
2256,Jim Cooper,TN-05,-0.83,-0.76,-0.99,0.68,TN-05-cooper_jim-,0,0,0,-0.565626263,-0.565626263,0.5,-0.99,0.0601,760,-0.76,0.0125,18821,D,0,1,57.2,@CoopForCongress,@repjimcooper,1936,36376,1,0,1,0,TN-05
2257,Joshua Rawlings,TN-05,-0.81,-0.92,-0.8,0.08,TN-05-rawlings_joshua-,0,0,0,NA,-0.870059059,0.5,-0.8,0.0546,1127,-0.92,0.052,1170,D,0,0,3,@voterawlings,NA,NA,NA,1,0,0,0,TN-05
2258,Justin Bautista-Jones,TN-05,-1.41,NA,-1.41,0,TN-05-bautista-jones_justin-,0,0,0,NA,-0.870059059,0.5,-1.41,0.0382,1139,NA,NA,NA,D,0,0,0,NA,NA,NA,NA,1,0,0,0,TN-05
2259,Keeda Haynes,TN-05,-1.45,-1.35,-1.48,0.2,TN-05-haynes_keeda-,0,0,0,NA,-0.870059059,0.5,-1.48,0.0307,1695,-1.35,0.0213,4946,D,0,0,39.8,@KeedaHaynes,NA,4875,NA,1,0,0,0,TN-05
2260,Meredith Mattlin,TN-05,-1.65,-1.65,NA,1,TN-05-mattlin_meredith-,0,0,0,NA,-0.870059059,0.5,NA,NA,NA,-1.65,0.0141,7838,D,0,0,0,@meredith_2020,NA,1531,NA,1,0,0,0,TN-05
2261,Christopher Finley,TN-06,NA,NA,NA,NA,TN-06-finley_christopher-,0,0,0,NA,-0.870059059,0.5,NA,NA,NA,NA,NA,NA,D,0,0,100,NA,NA,NA,NA,1,0,1,0,TN-06
2262,Christopher Monday,TN-06,NA,NA,NA,NA,TN-06-monday_christopher-,0,0,0,NA,0,0.5,NA,NA,NA,NA,NA,NA,I,0,0,0,NA,NA,NA,NA,1,0,1,0,TN-06
2263,John Rose,TN-06,1.23,1.23,1.22,0.57,TN-06-rose_john-,0,0,0,1.306934621,1.306934621,0.5,1.22,0.0456,749,1.23,0.0132,11813,R,0,1,100,@JohnRoseforTN,@RepJohnRose,NA,NA,1,1,1,0,TN-06
2264,Kiran Sreepada,TN-07,-0.73,-0.81,-0.72,0.1,TN-07-sreepada_kiran-,0,0,0,NA,-0.870059059,0.5,-0.72,0.0365,2317,-0.81,0.0303,3138,D,0,0,100,@Kiran4Congress,NA,1190,NA,1,0,1,0,TN-07
2265,Mark Green,TN-07,1.45,1.44,1.47,0.71,TN-07-green_mark-,0,0,0,1.325048137,1.325048137,0.5,1.47,0.0359,1173,1.44,0.0074,33196,R,0,1,100,@DrMarkGreen4TN,@RepMarkGreen,10867,NA,1,1,1,0,TN-07
2266,David Kustoff,TN-08,0.97,0.83,1.33,0.73,TN-08-kustoff_david-,0,0,0,1.087251614,1.087251614,0.5,1.33,0.0597,460,0.83,0.0134,14383,R,0,1,100,@DavidKustoff,@RepDavidKustoff,1707,NA,1,1,1,0,TN-08
2267,Erika Stotts Pearson,TN-08,-0.98,NA,-0.98,0,TN-08-stottspearson_erika-,0,0,0,NA,-0.870059059,0.5,-0.98,0.0725,604,NA,NA,NA,D,0,0,51.1,NA,NA,NA,NA,1,0,1,0,TN-08
2268,Hollis Skinner,TN-08,NA,NA,NA,NA,TN-08-skinner_hollis-,0,0,0,NA,-0.870059059,0.5,NA,NA,NA,NA,NA,NA,D,0,0,11.9,NA,NA,NA,NA,1,0,0,0,TN-08
2269,Lawrence Pivnick,TN-08,-0.76,NA,-0.76,0,TN-08-pivnick_lawrence-,0,0,0,NA,-0.870059059,0.5,-0.76,0.0339,2706,NA,NA,NA,D,0,0,16.5,NA,NA,NA,NA,1,0,0,0,TN-08
2270,Savannah Williamson,TN-08,NA,NA,NA,NA,TN-08-williamson_savannah-,0,0,0,NA,-0.870059059,0.5,NA,NA,NA,NA,NA,NA,D,0,0,20.4,NA,NA,NA,NA,1,0,0,0,TN-08
2271,Charlotte Bergmann,TN-09,1.49,1.69,1.12,0.64,TN-09-bergmann_charlotte-,0,0,0,NA,1.034735001,0.5,1.12,0.0681,465,1.69,0.0127,9752,R,0,0,100,@ElectBergmann,NA,10019,NA,1,1,1,0,TN-09
2272,Corey Strong,TN-09,-1,-0.68,-1.06,0.16,TN-09-strong_corey-,1,0,0,-1.657822485,-1.657822485,0.5,-1.06,0.0616,678,-0.68,0.0469,1523,D,0,0,14.8,@The901Strong,NA,544,NA,1,0,0,0,TN-09
2273,Leo AwGoWhat,TN-09,NA,NA,NA,NA,TN-09-awgowhat_leo-,0,0,0,NA,-0.870059059,0.5,NA,NA,NA,NA,NA,NA,D,0,0,1.1,NA,NA,NA,NA,1,0,0,0,TN-09
2274,Steve Cohen,TN-09,-1.42,-1.45,-1.13,0.91,TN-09-cohen_steve-,0,0,0,-1.04188222,-1.04188222,0.5,-1.13,0.1098,276,-1.45,0.0084,32350,D,0,1,84,@ReElectCohen,@RepCohen,NA,NA,1,0,1,0,TN-09
2275,Marsha Blackburn,TN-Sen01,1.44,1.44,NA,1,TN-Sen01-blackburn_marsha-,0,0,0,1.160002952,1.160002952,0.5,NA,NA,NA,1.44,0.0068,38737,R,0,1,NA,@VoteMarsha,@MarshaBlackburn,NA,NA,0,1,0,0,TN-Se
2276,Aaron Pettigrew,TN-Sen02,1.74,1.74,NA,1,TN-Sen02-pettigrew_aaron-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,1.74,0.0109,11616,R,0,0,0.2,@alpettigrew1,NA,6795,NA,0,1,0,0,TN-Se
2277,Bill Hagerty,TN-Sen02,1.39,1.5,1.16,0.68,TN-Sen02-hagerty_bill-,0,0,0,NA,1.034735001,0.5,1.16,0.0325,1547,1.5,0.0067,39054,R,0,0,50.8,@BillHagertyTN,@SenatorHagerty,20722,NA,0,1,1,0,TN-Se
2278,Byron Bush,TN-Sen02,1.13,1.43,1.11,0.05,TN-Sen02-bush_byron-,0,0,0,NA,1.034735001,0.5,1.11,0.035,1364,1.43,0.0484,826,R,0,0,0.8,@BushforSenate,NA,NA,NA,0,1,0,0,TN-Se
