row,candidate,stateDist,avgIdeal,idealTwitter,idealWeb,twWeight,candStem,liberal,conservative,moderate,thetaExternal,thetaStart,sigmaStart,idealWebLibcon,seThetaWebLibcon,wordCountWebLibcon,idealTwitterLibcon,seThetaTwitterLibcon,wordCountTwitterLibcon,party,partyLeader,incumbent,primaryPct,screenName,officialScreenName,followersCampaign,followersOfficial,house,rep,generalElec,generalElecJungle,district
1,Alyse Galvin,AK-00,-0.61,-0.61,-0.61,0.18,AK-00-galvin_alyse-,0,0,0,NA,-0.870059059,0.5,-0.61,0.0319,3052,-0.61,0.0191,8121,D,0,0,85.83493158,@AlyseGalvin,NA,5365,NA,1,0,1,0,AK-00
2,Don Young,AK-00,0.83,0.62,0.92,0.31,AK-00-young_don-,0,0,0,0.807376188,0.807376188,0.5,0.92,0.0353,1564,0.62,0.0174,8322,R,0,1,77.2,@DonYoungAK,@repdonyoung,NA,22896,1,1,1,0,AK-00
3,Gerald Heikes,AK-00,NA,NA,NA,NA,AK-00-heikes_gerald-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,5.8,NA,NA,NA,NA,1,1,0,0,AK-00
4,John Nelson,AK-00,1.72,1.72,NA,1,AK-00-nelson_john-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,1.72,0.0393,924,R,0,0,17,@Nelson4Alaskans,NA,36,NA,1,1,0,0,AK-00
5,Ray Sean Tugatuk,AK-00,NA,NA,NA,NA,AK-00-tugatuk_raysean-,0,0,0,NA,-0.870059059,0.5,NA,NA,NA,NA,NA,NA,D,0,0,7.8,NA,NA,NA,NA,1,0,0,0,AK-00
6,Thomas Lamb,AK-00,NA,NA,NA,NA,AK-00-lamb_thomas-,0,0,0,NA,0,0.5,NA,NA,NA,NA,NA,NA,I,0,0,0,NA,NA,NA,NA,1,0,0,0,AK-00
7,William Hibler,AK-00,-0.81,NA,-0.81,0,AK-00-hibler_william-,0,0,0,NA,-0.870059059,0.5,-0.81,0.0643,967,NA,NA,NA,D,0,0,6.3,NA,NA,NA,NA,1,0,0,0,AK-00
8,Al Gross,AK-Sen02,-0.82,-1.15,-0.71,0.25,AK-Sen02-gross_al-,0,0,0,NA,-0.870059059,0.5,-0.71,0.0368,2323,-1.15,0.017,9081,D,0,0,79.9,@DrAlGrossAK,NA,NA,NA,0,0,1,0,AK-Se
9,Chris Cumings,AK-Sen02,-0.9,NA,-0.9,0,AK-Sen02-cummings_chris-,0,0,0,NA,-0.870059059,0.5,-0.9,0.0646,818,NA,NA,NA,D,0,0,4.8,NA,NA,NA,NA,0,0,0,0,AK-Se
10,Dan Sullivan,AK-Sen02,0.66,0.66,0.66,0.41,AK-Sen02-sullivan_dan-,0,0,0,0.829188857,0.829188857,0.5,0.66,0.0275,2187,0.66,0.0123,17533,R,0,1,100,@DanSullivan_AK,@SenDanSullivan,4978,NA,0,1,1,0,AK-Se
11,Edgar Blatchford,AK-Sen02,NA,NA,NA,NA,AK-Sen02-blatchford_edgar-,0,0,0,NA,-0.870059059,0.5,NA,NA,NA,NA,NA,NA,D,0,0,8.7,NA,NA,NA,NA,0,0,0,0,AK-Se
12,John Howe,AK-Sen02,-0.94,NA,-0.94,0,AK-Sen02-howe_john-,0,0,0,NA,-0.870059059,0.5,-0.94,0.1132,263,NA,NA,NA,D,0,0,6.6,NA,NA,NA,NA,0,0,0,0,AK-Se
13,Lisa Murkowski,AK-Sen03,0.2,0.2,NA,1,AK-Sen03-murkowski_lisa-,0,0,1,0.24082822,0.24082822,0.5,NA,NA,NA,0.2,0.0071,43670,R,0,1,NA,@LisaForSenate,@lisamurkowski,NA,NA,0,1,0,0,AK-Se
14,Bill Hightower,AL-01,1.32,1.4,1.27,0.37,AL-01-hightower_bill-,0,0,0,NA,1.034735001,0.5,1.27,0.0459,720,1.4,0.0182,5066,R,0,0,37.5,@BillHightowerAL,NA,NA,NA,1,1,0,0,AL-01
15,Chris Pringle,AL-01,1.15,1.15,NA,1,AL-01-pringle_chris-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,1.15,0.0261,3437,R,0,0,19.2,@PringleforAL01,NA,NA,NA,1,1,0,0,AL-01
16,James Averhart,AL-01,-0.71,-0.63,-0.72,0.09,AL-01-averhart_james-,0,0,0,NA,-0.870059059,0.5,-0.72,0.0611,908,-0.63,0.0532,1059,D,0,0,40.34700497,@JAverhart2020,NA,376,NA,1,0,1,0,AL-01
17,Jerry Carl,AL-01,1.13,1.2,1.1,0.32,AL-01-carl_jerry-,0,0,0,NA,1.034735001,0.5,1.1,0.0514,626,1.2,0.0255,3423,R,0,0,38.7,@CarlForAlabama,@RepJerryCarl,2250,NA,1,1,1,0,AL-01
18,John Castorani,AL-01,1.49,1.65,1.34,0.47,AL-01-castorani_john-,0,0,0,NA,1.034735001,0.5,1.34,0.0654,453,1.65,0.0199,4758,R,0,0,1.5,@JohnCastorani,NA,806,NA,1,1,0,0,AL-01
19,Kiani Gardner,AL-01,-0.88,-1.23,-0.61,0.44,AL-01-gardner_kiani-,0,0,0,NA,-0.870059059,0.5,-0.61,0.07,685,-1.23,0.0214,6236,D,0,0,44.07039902,@KianiGardner,NA,1463,NA,1,0,0,0,AL-01
20,Rick Collins,AL-01,-0.82,NA,-0.82,0,AL-01-collins_rick-,0,0,0,NA,-0.870059059,0.5,-0.82,0.0668,846,NA,NA,NA,D,0,0,15.58259601,NA,NA,NA,NA,1,0,0,0,AL-01
21,Wes Lambert,AL-01,NA,NA,NA,NA,AL-01-lambert_wes-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,3.1,NA,NA,NA,NA,1,1,0,0,AL-01
22,Barry Moore,AL-02,1.48,NA,1.48,0,AL-02-moore_barry-,0,1,0,1.71459427,1.71459427,0.5,1.48,0.0421,958,NA,NA,NA,R,0,0,20.5,NA,@RepBarryMoore,NA,6097,1,1,1,0,AL-02
23,Bob Rogers,AL-02,NA,NA,NA,NA,AL-02-rogers_bob-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,0.8,NA,NA,NA,NA,1,1,0,0,AL-02
24,Jeff Coleman,AL-02,1.15,1.1,1.21,0.53,AL-02-coleman_jeff-,0,0,0,NA,1.034735001,0.5,1.21,0.0748,310,1.1,0.0238,4129,R,0,0,38.1,@JeffColemanAL,NA,NA,NA,1,1,0,0,AL-02
25,Jessica Taylor,AL-02,1.6,1.6,NA,1,AL-02-taylor_jessica-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,1.6,0.0213,4103,R,0,0,19.9,@JessicaTaylorAL,NA,21456,NA,1,1,0,0,AL-02
26,Nathan Mathis,AL-02,-0.8,-0.8,NA,1,AL-02-mathis_nathan-,0,0,0,NA,-0.870059059,0.5,NA,NA,NA,-0.8,0.1164,201,D,0,0,40.8,@olenate2020,NA,NA,NA,1,0,0,0,AL-02
27,Phyllis Harvey-Hall,AL-02,-0.68,-0.95,-0.6,0.23,AL-02-harvey-hall_phyllis-,0,0,0,NA,-0.870059059,0.5,-0.6,0.0525,1023,-0.95,0.0282,3697,D,0,0,59.2,@PhyllisDHHall,NA,2073,NA,1,0,1,0,AL-02
28,Terri Hasdorff,AL-02,1.23,1.51,1.22,0.03,AL-02-hasdorff_terri-,0,0,0,NA,1.034735001,0.5,1.22,0.0391,1136,1.51,0.0669,413,R,0,0,5,@TerriforAL02,NA,NA,NA,1,1,0,0,AL-02
29,Thomas Brown,AL-02,1.26,NA,1.26,0,AL-02-brownjr_thomas-,0,0,0,NA,1.034735001,0.5,1.26,0.0295,2672,NA,NA,NA,R,0,0,1.2,@ThomasWBrownJr1,NA,NA,NA,1,1,0,0,AL-02
30,Troy King,AL-02,1.13,NA,1.13,0,AL-02-king_troy-,0,0,0,NA,1.034735001,0.5,1.13,0.1005,256,NA,NA,NA,R,0,0,14.5,NA,NA,NA,NA,1,1,0,0,AL-02
31,Adia Winfrey,AL-03,-1.24,-1.23,-1.26,0.81,AL-03-winfrey_adia-,0,0,0,NA,-0.870059059,0.5,-1.26,0.0931,270,-1.23,0.0155,13836,D,0,0,100,@drdia,NA,4596,NA,1,0,1,0,AL-03
32,Mike Rogers,AL-03,1.24,1.24,NA,1,AL-03-rogers_mike-,0,0,0,1.120489218,1.120489218,0.5,NA,NA,NA,1.24,0.0171,7739,R,0,1,100,@MikeRogersCamp,@RepMikeRogersAL,613,NA,1,1,1,0,AL-03
33,Rick Neighbors,AL-04,-0.61,-0.89,-0.51,0.25,AL-04-neighbors_rick-,0,0,0,NA,-0.870059059,0.5,-0.51,0.0806,543,-0.89,0.0379,2142,D,0,0,100,@VoteNeighbors,NA,557,NA,1,0,1,0,AL-04
34,Robert Aderholt,AL-04,1.05,1.08,1.03,0.37,AL-04-aderholt_robert-,0,0,0,1.026402025,1.026402025,0.5,1.03,0.0432,879,1.08,0.0193,6165,R,0,1,100,NA,@Robert_Aderholt,NA,30226,1,1,1,0,AL-04
35,Chris Lewis,AL-05,1.16,0.96,1.23,0.25,AL-05-lewis_chris-,0,0,0,NA,1.034735001,0.5,1.23,0.0619,474,0.96,0.0374,1817,R,0,0,25.1,@LewisforAL,NA,NA,NA,1,1,0,0,AL-05
36,Mo Brooks,AL-05,1.7,1.75,1.61,0.62,AL-05-brooks_mo-,0,1,0,1.522324153,1.522324153,0.5,1.61,0.0344,1010,1.75,0.0087,19233,R,0,1,74.9,NA,@RepMoBrooks,NA,44045,1,1,1,0,AL-05
37,Gary Palmer,AL-06,1.38,1.17,1.5,0.36,AL-06-palmer_gary-,0,0,0,1.297132292,1.297132292,0.5,1.5,0.0352,1124,1.17,0.0177,7416,R,0,1,100,@Palmer4Alabama,@USRepGaryPalmer,2736,NA,1,1,1,0,AL-06
38,Kaynen Pellegrino,AL-06,0.33,0.33,NA,1,AL-06-pellegrino_kaynen-,0,0,0,NA,0,0.5,NA,NA,NA,0.33,0.1231,1691,I,0,0,0,@RCVAlabama,NA,1177,NA,1,0,1,0,AL-06
39,Terri Sewell,AL-07,-0.69,-0.71,-0.66,0.57,AL-07-sewell_terri-,0,0,0,-0.70617425,-0.70617425,0.5,-0.66,0.0454,1453,-0.71,0.0114,22737,D,0,1,100,@Sewell4Congress,@RepTerriSewell,3098,NA,1,0,1,0,AL-07
40,Arnold Mooney,AL-Sen02,1.39,1.31,1.41,0.17,AL-Sen02-mooney_arnold-,0,0,0,NA,1.034735001,0.5,1.41,0.0525,625,1.31,0.038,1485,R,0,0,1,@ArnoldforAL,NA,1311,NA,0,1,0,0,AL-Se
41,Bradley Byrne,AL-Sen02,1.49,1.49,NA,1,AL-Sen02-byrne_bradley-,0,0,0,1.332304157,1.332304157,0.5,NA,NA,NA,1.49,0.0094,19425,R,0,0,24.9,@BradleyByrne,NA,22529,NA,0,1,0,0,AL-Se
42,Doug Jones,AL-Sen02,-0.43,-0.51,-0.35,0.52,AL-Sen02-jones_doug-,0,0,1,-0.423020197,-0.423020197,0.5,-0.35,0.0389,1686,-0.51,0.0116,21693,D,0,1,100,@DougJones,@SenDougJones,261001,NA,0,0,1,0,AL-Se
43,Jeff Sessions,AL-Sen02,1.55,1.59,1.45,0.72,AL-Sen02-sessions_jeff-,0,0,0,NA,1.034735001,0.5,1.45,0.0685,508,1.59,0.0102,15391,R,0,0,31.6,@jeffsessions,NA,NA,NA,0,1,0,0,AL-Se
44,Roy Moore,AL-Sen02,1.7,1.7,NA,1,AL-Sen02-moore_roy-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,1.7,0.0272,1851,R,0,0,7.2,@RealJudgeMoore,NA,NA,NA,0,1,0,0,AL-Se
45,Ruth Page-Nelson,AL-Sen02,NA,NA,NA,NA,AL-Sen02-page-nelson_ruth-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,1,NA,NA,NA,NA,0,1,0,0,AL-Se
46,Stanley Adair,AL-Sen02,1.39,1.39,NA,1,AL-Sen02-adair_stanley-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,1.39,0.0681,495,R,0,0,0.9,@stanley_adair,NA,NA,NA,0,1,0,0,AL-Se
47,Tommy Tuberville,AL-Sen02,1.34,1.63,1.2,0.32,AL-Sen02-tuberville_tommy-,0,0,0,NA,1.034735001,0.5,1.2,0.061,688,1.63,0.0205,3808,R,0,0,33.4,@TTuberville,@SenTuberville,52253,NA,0,1,1,0,AL-Se
48,Richard Shelby,AL-Sen03,0.4,0.4,NA,1,AL-Sen03-shelby_richard-,0,0,0,0.762581993,0.762581993,0.5,NA,NA,NA,0.4,0.017,8299,R,0,1,NA,NA,@SenShelby,NA,NA,0,1,0,0,AL-Se
49,Rick Crawford,AR-01,1.35,1.38,1.12,0.89,AR-01-crawford_rick-,0,0,0,1.096755235,1.096755235,0.5,1.12,0.0897,231,1.38,0.0092,22187,R,0,1,100,@Crawford4Cong,@RepRickCrawford,4595,NA,1,1,1,0,AR-01
50,French Hill,AR-02,0.87,0.74,0.97,0.45,AR-02-hill_french-,0,0,0,0.9691415,0.9691415,0.5,0.97,0.0258,3222,0.74,0.0093,30889,R,0,1,100,@ElectFrench,@RepFrenchHill,2925,20634,1,1,1,0,AR-02
51,J. Glenn Smith,AR-02,NA,NA,NA,NA,AR-02-smith_jglenn-,0,0,0,NA,0,0.5,NA,NA,NA,NA,NA,NA,I,0,0,0,NA,NA,NA,NA,1,0,0,0,AR-02
52,Joyce Elliott,AR-02,-0.81,-1.12,-0.59,0.41,AR-02-elliott_joyce-,0,0,0,NA,-0.870059059,0.5,-0.59,0.0353,2406,-1.12,0.012,19883,D,0,0,100,@xjelliott,NA,16572,NA,1,0,1,0,AR-02
53,Celeste Williams,AR-03,-0.97,-0.99,-0.96,0.28,AR-03-williams_celeste-,0,0,0,NA,-0.870059059,0.5,-0.96,0.032,2909,-0.99,0.0152,13317,D,0,0,100,@CelesteforAR,NA,NA,NA,1,0,1,0,AR-03
54,Michael Kalagias,AR-03,0.78,0.78,NA,1,AR-03-kalagias_michael-,0,0,0,NA,0,0.5,NA,NA,NA,0.78,0.0533,1980,L,0,0,0,@KalagiasforUS,NA,334,NA,1,0,1,0,AR-03
55,Steve Womack,AR-03,0.84,0.76,1.07,0.73,AR-03-womack_steve-,0,0,0,0.949987192,0.949987192,0.5,1.07,0.0525,724,0.76,0.0105,23265,R,0,1,100,@womack4congress,@rep_stevewomack,2065,NA,1,1,1,0,AR-03
56,Bruce Westerman,AR-04,1.02,0.9,1.2,0.6,AR-04-westerman_bruce-,0,0,0,1.14738806,1.14738806,0.5,1.2,0.0697,449,0.9,0.0174,7862,R,0,1,100,@WestermanAR,@RepWesterman,2412,NA,1,1,1,0,AR-04
57,Frank Gilbert,AR-04,NA,NA,NA,NA,AR-04-gilbert_frank-,0,0,0,NA,0,0.5,NA,NA,NA,NA,NA,NA,L,0,0,0,NA,NA,NA,NA,1,0,1,0,AR-04
58,William Hanson,AR-04,-0.93,-0.99,-0.93,0.04,AR-04-hanson_william-,0,0,0,NA,-0.870059059,0.5,-0.93,0.0527,1149,-0.99,0.0747,507,D,0,0,100,@WilliamHansonAR,NA,711,NA,1,0,1,0,AR-04
59,Ricky Harrington,AR-Sen02,NA,NA,NA,NA,AR-Sen02-harrington_ricky-,0,0,0,NA,0,0.5,NA,NA,NA,NA,NA,NA,L,0,0,NA,NA,NA,NA,NA,0,0,1,0,AR-Se
60,Tom Cotton,AR-Sen02,1.41,1.51,0.93,0.82,AR-Sen02-cotton_tom-,0,0,0,1.140020892,1.140020892,0.5,0.93,0.0589,620,1.51,0.0072,33290,R,0,1,100,@TomCottonAR,@SenTomCotton,155021,NA,0,1,1,0,AR-Se
61,John Boozman,AR-Sen03,0.47,0.47,NA,1,AR-Sen03-boozman_john-,0,0,0,0.704856043,0.704856043,0.5,NA,NA,NA,0.47,0.0096,25988,R,0,1,NA,@Boozman4AR,@JohnBoozman,NA,NA,0,1,0,0,AR-Se
62,Barbara McGuire,AZ-01,-0.65,-0.91,-0.61,0.12,AZ-01-mcguire_barbara-,0,0,0,NA,-0.870059059,0.5,-0.61,0.0855,390,-0.91,0.0661,644,D,0,0,0,@SenBarbMcGuire,NA,1218,NA,1,0,0,0,AZ-01
63,Chris Taylor,AZ-01,1.75,1.75,NA,1,AZ-01-taylor_chris-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,1.75,0.0138,7619,R,0,0,0,@taylor4arizona,NA,6998,NA,1,1,0,0,AZ-01
64,Eva Putzova,AZ-01,-1.63,-1.68,-1.35,0.85,AZ-01-putzova_eva-,1,0,0,-1.657822485,-1.657822485,0.5,-1.35,0.0596,513,-1.68,0.0063,34666,D,0,0,41.1,@EvaPutzova,NA,NA,NA,1,0,0,0,AZ-01
65,John Moore,AZ-01,0.9,NA,0.9,0,AZ-01-moore_john-,0,0,0,NA,1.034735001,0.5,0.9,0.093,215,NA,NA,NA,R,0,0,0,NA,NA,NA,NA,1,1,0,0,AZ-01
66,Larry Williams,AZ-01,NA,NA,NA,NA,AZ-01-williams_larry-,0,0,0,NA,-0.870059059,0.5,NA,NA,NA,NA,NA,NA,D,0,0,0,NA,NA,NA,NA,1,0,0,0,AZ-01
67,Miguel Olivas,AZ-01,-1.23,-1.23,NA,1,AZ-01-olivas_miguel-,0,0,0,NA,-0.870059059,0.5,NA,NA,NA,-1.23,0.1002,302,D,0,0,0,@OlivasAZCD1,NA,NA,NA,1,0,0,0,AZ-01
68,Nolan Reidhead,AZ-01,1.27,1.48,1.24,0.13,AZ-01-reidhead_nolan-,0,0,0,NA,1.034735001,0.5,1.24,0.0461,890,1.48,0.034,1499,R,0,0,45.6,@nolanreidhead,NA,NA,NA,1,1,0,0,AZ-01
69,Tiffany Shedd,AZ-01,1.11,1.23,0.98,0.52,AZ-01-shedd_tiffany-,0,0,0,NA,1.034735001,0.5,0.98,0.0501,643,1.23,0.0161,8250,R,0,0,54.4,@Tiffany_Shedd,NA,3317,NA,1,1,1,0,AZ-01
70,Tom O'Halleran,AZ-01,-0.15,-0.09,-0.36,0.77,AZ-01-ohalleran_tom-,0,0,0,-0.558945581,-0.558945581,0.5,-0.36,0.0532,949,-0.09,0.0069,38125,D,0,1,58.9,@TomOHalleran,@RepOHalleran,10158,NA,1,0,1,0,AZ-01
71,Andres Portela,AZ-02,NA,NA,NA,NA,AZ-02-portela_andres-,0,0,0,NA,-0.870059059,0.5,NA,NA,NA,NA,NA,NA,D,0,0,0,NA,NA,NA,NA,1,0,0,0,AZ-02
72,Ann Kirkpatrick,AZ-02,-0.68,-0.8,-0.46,0.66,AZ-02-kirkpatrick_ann-,0,0,0,-0.693895305,-0.693895305,0.5,-0.46,0.0409,1706,-0.8,0.0086,39268,D,0,1,77.1,@Ann_Kirkpatrick,@RepKirkpatrick,10929,NA,1,0,1,0,AZ-02
73,Brandon Martin,AZ-02,1.66,1.66,NA,1,AZ-02-martin_brandon-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,1.66,0.0225,3011,R,0,0,43.3,@PathForFreedom,NA,1107,NA,1,1,1,0,AZ-02
74,Iman-Utopia Bah,AZ-02,NA,NA,NA,NA,AZ-02-bah_iman-utopia-,0,0,0,NA,0,0.5,NA,NA,NA,NA,NA,NA,I,0,0,0,@ImanBah,NA,NA,NA,1,0,0,0,AZ-02
75,Jim Schmidt,AZ-02,NA,NA,NA,NA,AZ-02-schmidt_jim-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,0,@schmidt_for,NA,NA,NA,1,1,0,0,AZ-02
76,Joseph Morgan,AZ-02,1.19,1.84,1.07,0.16,AZ-02-morgan_joseph-,0,0,0,NA,1.034735001,0.5,1.07,0.026,3191,1.84,0.0133,7216,R,0,0,23.6,@jdmorgan11,NA,335,NA,1,1,0,0,AZ-02
77,Justine Wadsack,AZ-02,1.65,1.65,NA,1,AZ-02-wadsack_justine-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,1.65,0.0107,15083,R,0,0,0,@Wadsack4Arizona,NA,1231,NA,1,1,0,0,AZ-02
78,Michael Ligon,AZ-02,NA,NA,NA,NA,AZ-02-ligon_michael-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,0,NA,NA,NA,NA,1,1,0,0,AZ-02
79,Nevin Kohler,AZ-02,NA,NA,NA,NA,AZ-02-kohler_nevin-,0,0,0,NA,-0.870059059,0.5,NA,NA,NA,NA,NA,NA,D,0,0,0,@nevinkohler,NA,NA,NA,1,0,0,0,AZ-02
80,Noran Ruden,AZ-02,1.08,1.12,1.08,0.09,AZ-02-ruden_noran-,0,0,0,NA,1.034735001,0.5,1.08,0.0532,775,1.12,0.0506,888,R,0,0,33.1,@Ruden4Congress,NA,NA,NA,1,1,0,0,AZ-02
81,Peter Quilter,AZ-02,-1.33,-1.33,NA,1,AZ-02-quilter_peter-,0,0,0,NA,-0.870059059,0.5,NA,NA,NA,-1.33,0.051,858,D,0,0,22.9,@PQ4AZ,NA,NA,NA,1,0,0,0,AZ-02
82,Shay Stautz,AZ-02,0.91,0.91,NA,1,AZ-02-stautz_shay-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,0.91,0.0321,2534,R,0,0,0,@shay_stautz,NA,110,NA,1,1,0,0,AZ-02
83,Daniel Wood,AZ-03,1.16,NA,1.16,0,AZ-03-wood_daniel-,0,0,0,NA,1.034735001,0.5,1.16,0.0635,445,NA,NA,NA,R,0,0,100,@DWood4Congress,NA,NA,NA,1,1,1,0,AZ-03
84,Raul Grijalva,AZ-03,-1.21,-1.34,-1.13,0.38,AZ-03-grijalva_raul-,1,0,0,-1.259542261,-1.259542261,0.5,-1.13,0.0277,3477,-1.34,0.0095,24832,D,0,1,100,@standwithraul,@RepRaulGrijalva,NA,NA,1,0,1,0,AZ-03
85,Steve Ronnebeck,AZ-03,NA,NA,NA,NA,AZ-03-ronnebeck_steve-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,0,@RonnebeckSteve,NA,NA,NA,1,1,0,0,AZ-03
86,Anne Marie Ward,AZ-04,0.91,1.05,0.84,0.33,AZ-04-ward_annemarie-,0,0,0,NA,1.034735001,0.5,0.84,0.0567,610,1.05,0.0286,3472,R,0,0,36.87218767,@annemariewardaz,NA,251,NA,1,1,0,0,AZ-04
87,Delina Disanto,AZ-04,-1.12,-1.2,-0.76,0.81,AZ-04-disanto_delina-,0,0,0,NA,-0.870059059,0.5,-0.76,0.062,705,-1.2,0.0088,35337,D,0,0,74.4,@delina4az,NA,11029,NA,1,0,1,0,AZ-04
88,Emily Robinson,AZ-04,NA,NA,NA,NA,AZ-04-robinson_emily-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,0,@EmilyCongress,NA,NA,NA,1,1,0,0,AZ-04
89,Paul Gosar,AZ-04,1.75,1.79,1.51,0.86,AZ-04-gosar_paul-,0,1,0,1.658945037,1.658945037,0.5,1.51,0.0489,591,1.79,0.0056,42662,R,0,1,63.12084201,@DrPaulGosar,@RepGosar,97532,NA,1,1,1,0,AZ-04
90,Stu Starky,AZ-04,-1.1,-1.32,-0.53,0.72,AZ-04-starky_stu-,0,0,0,NA,-0.870059059,0.5,-0.53,0.081,465,-1.32,0.0127,13809,D,0,0,25.6,@StuartStarky,NA,197,NA,1,0,0,0,AZ-04
91,Andy Biggs,AZ-05,1.82,1.88,1.55,0.81,AZ-05-biggs_andy-,0,1,0,1.724985698,1.724985698,0.5,1.55,0.0433,787,1.88,0.0054,39099,R,0,1,100,@andybiggs4az,@RepAndyBiggsAZ,14091,NA,1,1,1,0,AZ-05
92,Javier Ramos,AZ-05,-1.02,-1.09,-1.01,0.17,AZ-05-ramos_javier-,0,0,0,NA,-0.870059059,0.5,-1.01,0.0704,587,-1.09,0.0473,1440,D,0,0,39.4,@ramoscd5,NA,NA,NA,1,0,0,0,AZ-05
93,Joan Greene,AZ-05,-1.01,-1.12,-0.54,0.81,AZ-05-greene_joan-,0,0,0,NA,-0.870059059,0.5,-0.54,0.0635,732,-1.12,0.009,36253,D,0,0,50,@joangreeneaz,NA,18432,NA,1,0,1,0,AZ-05
94,Jonathan Ireland,AZ-05,-1.66,-1.66,NA,1,AZ-05-ireland_jonathan-,0,0,0,NA,-0.870059059,0.5,NA,NA,NA,-1.66,0.0131,8490,D,0,0,10.6,@JonAzDistrict5,NA,266,NA,1,0,0,0,AZ-05
95,Nicholas Murray,AZ-05,NA,NA,NA,NA,AZ-05-murray_nicholas-,0,0,0,NA,-0.870059059,0.5,NA,NA,NA,NA,NA,NA,D,0,0,0,NA,NA,NA,NA,1,0,0,0,AZ-05
96,Anita Malik,AZ-06,-0.93,-1.07,-0.82,0.43,AZ-06-malik_anita-,0,0,0,NA,-0.870059059,0.5,-0.82,0.0491,1273,-1.07,0.0155,11481,D,0,0,36.5,@AnitaMalik,NA,5027,NA,1,0,0,0,AZ-06
97,David Schweikert,AZ-06,0.91,0.75,1.12,0.58,AZ-06-schweikert_david-,0,0,0,1.06940732,1.06940732,0.5,1.12,0.0464,1030,0.75,0.0125,16637,R,0,1,100,@DavidSchweikert,@RepDavid,5685,NA,1,1,1,0,AZ-06
98,Gene Scharer,AZ-06,NA,NA,NA,NA,AZ-06-scharer_gene-,0,0,0,NA,-0.870059059,0.5,NA,NA,NA,NA,NA,NA,D,0,0,0,@GeneScharer,NA,NA,NA,1,0,0,0,AZ-06
99,Gennaro Napolitano,AZ-06,NA,NA,NA,NA,AZ-06-napolitano_gennaro-,0,0,0,NA,0,0.5,NA,NA,NA,NA,NA,NA,I,0,0,0,@VoteGennaro,NA,NA,NA,1,0,0,0,AZ-06
100,Hiral Tipirneni,AZ-06,-0.82,-0.89,-0.62,0.73,AZ-06-tipirneni_hiral-,0,0,0,NA,-0.870059059,0.5,-0.62,0.067,719,-0.89,0.0117,22969,D,0,0,53.3,@hiral4congress,NA,27830,NA,1,0,1,0,AZ-06
101,Karl Gentles,AZ-06,-0.83,-0.79,-0.83,0.09,AZ-06-gentles_karl-,0,0,0,NA,-0.870059059,0.5,-0.83,0.0361,2574,-0.79,0.0332,2854,D,0,0,4.5,@KarlGentles,NA,168,NA,1,0,0,0,AZ-06
102,Stephanie Rimmer,AZ-06,-1.17,-1.27,-0.54,0.86,AZ-06-rimmer_stephanie-,0,0,0,NA,-0.870059059,0.5,-0.54,0.0883,467,-1.27,0.0087,34851,D,0,0,5.7,@Rimmer4Congress,NA,1454,NA,1,0,0,0,AZ-06
103,Chris Hindle,AZ-07,1.71,1.71,NA,1,AZ-07-hindle_chris-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,1.71,0.0063,40391,R,0,0,0,@HindlesKitchen,NA,2135,NA,1,1,0,0,AZ-07
104,Josh Barnett,AZ-07,1.76,1.83,1.35,0.86,AZ-07-barnett_josh-,0,0,0,NA,1.034735001,0.5,1.35,0.0566,495,1.83,0.006,35013,R,0,0,100,@BarnettforAZ,NA,26690,NA,1,1,1,0,AZ-07
105,Ruben Gallego,AZ-07,-1.16,-1.16,NA,1,AZ-07-gallego_ruben-,0,0,0,-0.933361471,-0.933361471,0.5,NA,NA,NA,-1.16,0.0094,31459,D,0,1,100,@RubenGallego,@RepRubenGallego,84978,NA,1,0,1,0,AZ-07
106,Bob Musselwhite,AZ-08,-0.8,NA,-0.8,0,AZ-08-musselwhite_bob-,0,0,0,NA,-0.870059059,0.5,-0.8,0.0423,1941,NA,NA,NA,D,0,0,14.49615454,@BobMusselwhite,NA,NA,NA,1,0,0,0,AZ-08
